lugar,fecha,latitud,longitud,profundidad,magnitud
38 km al SO de Mina Collahuasi,2022-05-01 21:49:32,-21.085,-68.904,108 km,3.0 Ml
12 km al O de Ovalle,2022-05-01 19:37:52,-30.614,-71.328,53 km,2.6 Ml
41 km al NO de Lebu,2022-05-01 19:26:02,-37.346,-73.984,27 km,3.8 Ml
72 km al NE de Calama,2022-05-01 18:51:32,-22.004,-68.439,119 km,2.6 Ml
33 km al SO de Los Vilos,2022-05-01 15:10:02,-32.161,-71.695,27 km,2.7 Ml
51 km al O de OllagÃ¼e,2022-05-01 11:30:23,-21.412,-68.707,122 km,3.2 Ml
41 km al NE de Vallenar,2022-05-01 11:03:36,-28.239,-70.576,96 km,2.6 Ml
55 km al SE de Socaire,2022-05-01 09:25:48,-23.996,-67.59,220 km,3.2 Ml
79 km al SE de Socaire,2022-05-01 07:15:23,-24.045,-67.299,250 km,3.8 Ml
27 km al N de Rancagua,2022-05-01 00:16:46,-33.926,-70.753,90 km,3.1 Ml
