lugar,fecha,latitud,longitud,profundidad,magnitud
39 km al NE de Calama,2022-08-20 22:45:27,-22.235,-68.655,115 km,2.7 Ml
36 km al S de Alto del Carmen,2022-08-20 22:35:41,-29.082,-70.552,94 km,2.8 Ml
60 km al NO de Lebu,2022-08-20 21:52:49,-37.198,-74.091,41 km,3.1 Ml
7 km al SO de Mina Los Pelambres,2022-08-20 21:15:48,-31.879,-70.615,100 km,3.9 Ml
23 km al SO de Pichilemu,2022-08-20 20:06:04,-34.554,-72.158,13 km,3.0 Ml
20 km al S de La Serena,2022-08-20 19:50:01,-30.08,-71.251,79 km,4.2 Ml
78 km al SE de Socaire,2022-08-20 16:48:34,-24.169,-67.46,222 km,4.6 Ml
32 km al NO de Mina Collahuasi,2022-08-20 13:31:37,-20.707,-68.935,95 km,2.9 Ml
38 km al NE de Iquique,2022-08-20 11:51:41,-19.899,-70.011,49 km,3.5 Ml
41 km al S de Mina Collahuasi,2022-08-20 09:10:00,-21.191,-68.673,136 km,3.6 Ml
30 km al S de Punitaqui,2022-08-20 07:17:10,-31.092,-71.345,43 km,2.5 Ml
28 km al E de Calama,2022-08-20 06:51:46,-22.495,-68.656,112 km,2.5 Ml
26 km al O de Los Vilos,2022-08-20 02:10:40,-31.82,-71.767,38 km,2.7 Ml
34 km al NE de Calama,2022-08-20 01:17:57,-22.306,-68.652,120 km,3.5 Ml
