lugar,fecha,latitud,longitud,profundidad,magnitud
27 km al NE de Vichuqu̩n,2022-05-04 23:34:23,-34.76,-71.746,47 km,2.7 Ml
41 km al O de La Ligua,2022-05-04 23:29:02,-32.406,-71.666,33 km,3.6 Ml
12 km al NO de Cami̱a,2022-05-04 22:59:47,-19.27,-69.528,97 km,2.9 Ml
147 km al E de Socaire,2022-05-04 21:54:25,-23.144,-66.534,230 km,3.0 Ml
19 km al NO de Farellones,2022-05-04 20:39:50,-33.218,-70.446,100 km,2.7 Ml
45 km al SO de Los Vilos,2022-05-04 20:12:52,-32.187,-71.854,9 km,2.5 Ml
33 km al S de Mina Collahuasi,2022-05-04 18:07:43,-21.124,-68.692,105 km,2.6 Ml
14 km al NO de El Salvador,2022-05-04 17:15:00,-26.146,-69.717,123 km,3.9 Ml
49 km al SO de Los Vilos,2022-05-04 17:11:17,-32.242,-71.851,19 km,2.6 Ml
13 km al NO de Santa Cruz,2022-05-04 16:12:27,-34.534,-71.436,61 km,3.9 Ml
49 km al SO de Los Vilos,2022-05-04 16:00:16,-32.212,-71.89,29 km,2.8 Ml
48 km al SO de Los Vilos,2022-05-04 15:54:03,-32.211,-71.871,30 km,2.5 Ml
43 km al SO de Los Vilos,2022-05-04 15:34:17,-32.215,-71.799,15 km,2.7 Ml
77 km al SE de Socaire,2022-05-04 15:20:18,-24.068,-67.348,215 km,3.3 Ml
46 km al SO de Los Vilos,2022-05-04 15:07:56,-32.202,-71.861,28 km,2.9 Ml
43 km al SO de Los Vilos,2022-05-04 15:06:02,-32.204,-71.809,9 km,2.7 Ml
9 km al N de Cami̱a,2022-05-04 15:03:44,-19.231,-69.448,105 km,3.8 Ml
20 km al E de Mina Los Pelambres,2022-05-04 14:31:29,-31.781,-70.383,10 km,2.8 Ml
45 km al SO de Los Vilos,2022-05-04 14:18:48,-32.206,-71.845,16 km,2.8 Ml
50 km al SO de Los Vilos,2022-05-04 14:05:52,-32.226,-71.889,14 km,3.5 Ml
42 km al SO de Los Vilos,2022-05-04 13:40:41,-32.244,-71.725,11 km,2.5 Ml
37 km al NE de Pica,2022-05-04 13:14:53,-20.19,-69.169,91 km,3.0 Ml
48 km al SO de Los Vilos,2022-05-04 12:57:23,-32.235,-71.856,26 km,4.2 Ml
51 km al SO de Los Vilos,2022-05-04 12:48:22,-32.233,-71.902,32 km,5.0 Mw
49 km al SO de Los Vilos,2022-05-04 12:41:46,-32.215,-71.889,31 km,3.3 Ml
48 km al SO de Los Vilos,2022-05-04 12:29:43,-32.245,-71.843,32 km,2.6 Ml
46 km al SO de Los Vilos,2022-05-04 12:19:52,-32.221,-71.84,24 km,2.6 Ml
45 km al SO de Los Vilos,2022-05-04 12:11:06,-32.235,-71.798,14 km,2.7 Ml
46 km al SO de Los Vilos,2022-05-04 12:06:07,-32.256,-71.779,37 km,3.5 Ml
48 km al SO de Los Vilos,2022-05-04 11:59:35,-32.231,-71.846,33 km,5.1 Mw
18 km al NE de Vallenar,2022-05-04 11:49:34,-28.461,-70.619,15 km,2.9 Ml
47 km al SO de Los Vilos,2022-05-04 11:24:00,-32.229,-71.836,39 km,3.1 Ml
46 km al SO de Los Vilos,2022-05-04 10:58:09,-32.284,-71.729,44 km,2.9 Ml
43 km al SO de Los Vilos,2022-05-04 09:38:26,-32.226,-71.778,39 km,2.8 Ml
45 km al SO de Los Vilos,2022-05-04 09:16:25,-32.228,-71.803,17 km,3.3 Ml
41 km al SO de Los Vilos,2022-05-04 09:11:57,-32.23,-71.727,32 km,2.7 Ml
47 km al SO de Los Vilos,2022-05-04 08:12:08,-32.256,-71.797,32 km,3.2 Ml
47 km al SO de Los Vilos,2022-05-04 07:30:51,-32.238,-71.835,30 km,3.3 Ml
48 km al SO de Los Vilos,2022-05-04 07:19:17,-32.251,-71.82,30 km,2.5 Ml
51 km al SO de Los Vilos,2022-05-04 07:10:16,-32.258,-71.873,30 km,3.4 Ml
53 km al SO de Los Vilos,2022-05-04 07:04:42,-32.233,-71.929,33 km,2.9 Ml
55 km al SO de Los Vilos,2022-05-04 06:54:12,-32.25,-71.939,26 km,5.0 Mw
18 km al O de Iquique,2022-05-04 06:32:21,-20.277,-70.309,43 km,3.2 Ml
47 km al SO de Los Vilos,2022-05-04 05:55:44,-32.222,-71.846,34 km,2.6 Ml
48 km al SO de Los Vilos,2022-05-04 05:36:29,-32.24,-71.847,18 km,2.7 Ml
52 km al SO de Los Vilos,2022-05-04 05:15:19,-32.241,-71.899,29 km,3.6 Ml
54 km al SO de Los Vilos,2022-05-04 05:12:27,-32.25,-71.915,30 km,3.1 Ml
29 km al NO de Mina Collahuasi,2022-05-04 05:08:30,-20.696,-68.901,97 km,3.1 Ml
50 km al SO de Los Vilos,2022-05-04 05:03:27,-32.234,-71.881,27 km,3.2 Ml
50 km al SO de Los Vilos,2022-05-04 04:42:18,-32.239,-71.875,37 km,3.1 Ml
50 km al SO de Los Vilos,2022-05-04 04:11:34,-32.261,-71.847,16 km,2.8 Ml
