lugar,fecha,latitud,longitud,profundidad,magnitud
35 km al O de Mina Collahuasi,2022-05-06 23:53:16,-20.893,-68.989,100 km,2.8 Ml
42 km al NO de Mina Collahuasi,2022-05-06 23:00:20,-20.569,-68.947,105 km,3.4 Ml
155 km al O de ConstituciÃ³n,2022-05-06 22:35:18,-34.837,-74.0,28 km,4.0 Ml
41 km al NO de Valdivia,2022-05-06 19:58:10,-39.486,-73.472,44 km,3.4 Ml
65 km al SO de San Pedro de Atacama,2022-05-06 19:10:14,-23.284,-68.701,131 km,3.8 Ml
57 km al NE de Calama,2022-05-06 19:05:35,-22.036,-68.635,126 km,3.0 Ml
50 km al SO de Mina Collahuasi,2022-05-06 18:36:47,-21.242,-68.837,117 km,3.3 Ml
24 km al SE de Mina Collahuasi,2022-05-06 17:44:41,-21.028,-68.569,133 km,3.2 Ml
69 km al SO de OllagÃ¼e,2022-05-06 16:07:26,-21.774,-68.57,126 km,3.4 Ml
66 km al E de Quillagua,2022-05-06 14:31:37,-21.476,-68.927,100 km,2.7 Ml
41 km al SO de Los Vilos,2022-05-06 09:42:49,-32.173,-71.812,29 km,3.2 Ml
58 km al NO de Lebu,2022-05-06 08:45:26,-37.351,-74.228,15 km,2.5 Ml
34 km al NO de Lebu,2022-05-06 08:44:50,-37.318,-73.779,15 km,2.5 Ml
43 km al NE de Pozo Almonte,2022-05-06 08:20:30,-20.066,-69.424,80 km,2.6 Ml
35 km al S de Mina Collahuasi,2022-05-06 07:29:59,-21.137,-68.72,121 km,4.2 Mw
49 km al NO de Mina Collahuasi,2022-05-06 03:52:34,-20.433,-68.871,102 km,3.5 Ml
68 km al O de ValparaÃ­so,2022-05-06 02:11:20,-33.027,-72.34,15 km,3.1 Ml
12 km al S de Pica,2022-05-06 02:05:07,-20.591,-69.291,82 km,2.5 Ml
66 km al O de ValparaÃ­so,2022-05-06 01:40:59,-33.063,-72.32,15 km,3.0 Ml
