evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
49 km al NE de Socaire,-23.329 ,-67.498,2023-02-16,20:38:54,2023-02-16,23:38:54,264,km,2.8,Ml
60 km al S de Socaire,-24.132 ,-67.892,2023-02-16,19:49:33,2023-02-16,22:49:33,227,km,2.6,Ml
64 km al NO de Lebu,-37.194 ,-74.162,2023-02-16,19:49:02,2023-02-16,22:49:02,21,km,3.4,Ml
75 km al N de Calama,-21.818 ,-68.747,2023-02-16,15:32:37,2023-02-16,18:32:37,119,km,3.2,Ml
27 km al O de La Serena,-29.879 ,-71.530,2023-02-16,14:34:38,2023-02-16,17:34:38,53,km,3.1,Ml
75 km al S de OllagÃ¼e,-21.867 ,-68.469,2023-02-16,09:04:08,2023-02-16,12:04:08,129,km,2.6,Ml
7 km al N de Calama,-22.406 ,-68.915,2023-02-16,07:19:25,2023-02-16,10:19:25,129,km,3.2,Ml
29 km al SE de Quillota,-33.068 ,-71.026,2023-02-16,04:56:49,2023-02-16,07:56:49,68,km,2.9,Ml
46 km al SO de Los Vilos,-32.275 ,-71.745,2023-02-16,04:54:39,2023-02-16,07:54:39,28,km,3.2,Ml
31 km al SO de Los Vilos,-32.059 ,-71.790,2023-02-16,03:34:53,2023-02-16,06:34:53,32,km,3.2,Ml
53 km al SE de Socaire,-23.909 ,-67.502,2023-02-16,02:29:57,2023-02-16,05:29:57,249,km,3.4,Ml
43 km al S de Mina Collahuasi,-21.209 ,-68.673,2023-02-16,02:18:30,2023-02-16,05:18:30,114,km,2.5,Ml
29 km al SO de Los Vilos,-32.040 ,-71.777,2023-02-16,01:20:19,2023-02-16,04:20:19,44,km,2.7,Ml
49 km al S de OllagÃ¼e,-21.654 ,-68.364,2023-02-16,01:19:32,2023-02-16,04:19:32,124,km,2.7,Ml
33 km al SO de Los Vilos,-32.070 ,-71.811,2023-02-16,01:15:34,2023-02-16,04:15:34,21,km,2.7,Ml
131 km al NE de Socaire,-22.977 ,-66.795,2023-02-16,00:05:50,2023-02-16,03:05:50,274,km,4.5,Mw
53 km al E de Antuco,-37.290 ,-71.076,2023-02-16,00:01:00,2023-02-16,03:01:00,148,km,3.5,Ml
25 km al NE de Casablanca,-33.164 ,-71.213,2023-02-15,23:01:16,2023-02-16,02:01:16,61,km,2.7,Ml
58 km al O de Mejillones,-23.047 ,-71.017,2023-02-15,22:18:31,2023-02-16,01:18:31,15,km,3.0,Ml
66 km al SE de Linares,-36.140 ,-70.965,2023-02-15,21:51:02,2023-02-16,00:51:02,136,km,2.9,Ml
37 km al O de Socaire,-23.564 ,-68.248,2023-02-15,21:18:44,2023-02-16,00:18:44,125,km,3.1,Ml
