evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
22 km al NO de MarÃ­a Elena,-22.218 ,-69.829,2023-02-21,20:28:02,2023-02-21,23:28:02,82,km,3.6,Ml
61 km al NE de Calama,-22.016 ,-68.594,2023-02-21,20:22:33,2023-02-21,23:22:33,120,km,3.4,Ml
18 km al NE de La Higuera,-29.365 ,-71.134,2023-02-21,14:13:04,2023-02-21,17:13:04,57,km,2.9,Ml
39 km al SE de ToltÃ©n,-39.466 ,-72.911,2023-02-21,09:59:03,2023-02-21,12:59:03,53,km,3.5,Ml
73 km al SO de OllagÃ¼e,-21.711 ,-68.721,2023-02-21,08:47:54,2023-02-21,11:47:54,120,km,3.6,Ml
19 km al NO de Punitaqui,-30.694 ,-71.375,2023-02-21,08:31:36,2023-02-21,11:31:36,47,km,2.9,Ml
46 km al S de Sierra Gorda.,-23.308 ,-69.384,2023-02-21,03:39:33,2023-02-21,06:39:33,88,km,2.5,Ml
31 km al SO de TirÃºa,-38.565 ,-73.704,2023-02-21,03:00:20,2023-02-21,06:00:20,30,km,2.7,Ml
20 km al NE de Vallenar,-28.411 ,-70.683,2023-02-21,02:49:57,2023-02-21,05:49:57,61,km,2.9,Ml
21 km al E de Tacna,-17.963 ,-70.060,2023-02-21,02:40:40,2023-02-21,05:40:40,105,km,3.8,Ml
92 km al O de Arica,-18.498 ,-71.191,2023-02-20,23:42:46,2023-02-21,02:42:46,26,km,3.7,Ml
29 km al O de Cobquecura,-36.215 ,-73.095,2023-02-20,23:42:26,2023-02-21,02:42:26,42,km,2.9,Ml
42 km al O de La Ligua,-32.406 ,-71.673,2023-02-20,23:33:12,2023-02-21,02:33:12,33,km,3.1,Ml
14 km al NE de Cuya,-19.068 ,-70.085,2023-02-20,22:14:00,2023-02-21,01:14:00,62,km,3.9,Ml
36 km al S de Caldera,-27.392 ,-70.790,2023-02-20,21:40:29,2023-02-21,00:40:29,25,km,2.9,Ml
