evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
72 km al SE de Socaire,-24.174 ,-67.588,2023-02-06,18:34:03,2023-02-06,21:34:03,198,km,4.3,Ml
48 km al S de Mina Collahuasi,-21.236 ,-68.812,2023-02-06,18:25:41,2023-02-06,21:25:41,114,km,3.1,Ml
54 km al SE de Socaire,-23.960 ,-67.550,2023-02-06,17:52:23,2023-02-06,20:52:23,238,km,3.1,Ml
149 km al O de Lebu,-38.076 ,-75.243,2023-02-06,17:13:05,2023-02-06,20:13:05,36,km,3.2,Ml
121 km al O de Valdivia,-39.491 ,-74.600,2023-02-06,16:16:21,2023-02-06,19:16:21,18,km,2.9,Ml
14 km al S de La Higuera,-29.636 ,-71.219,2023-02-06,15:45:42,2023-02-06,18:45:42,71,km,3.0,Ml
32 km al NE de Rancagua,-33.932 ,-70.527,2023-02-06,15:13:23,2023-02-06,18:13:23,98,km,3.8,Ml
48 km al O de Punitaqui,-30.858 ,-71.761,2023-02-06,14:26:15,2023-02-06,17:26:15,34,km,3.0,Ml
19 km al N de Linares,-35.678 ,-71.540,2023-02-06,12:55:30,2023-02-06,15:55:30,91,km,2.7,Ml
110 km al NE de Socaire,-22.990 ,-67.036,2023-02-06,11:16:00,2023-02-06,14:16:00,269,km,3.4,Ml
37 km al N de CamiÃ±a,-18.992 ,-69.334,2023-02-06,09:30:50,2023-02-06,12:30:50,109,km,2.5,Ml
25 km al O de Navidad,-33.922 ,-72.095,2023-02-06,07:28:55,2023-02-06,10:28:55,45,km,2.7,Ml
38 km al NE de Calama,-22.164 ,-68.773,2023-02-06,06:24:55,2023-02-06,09:24:55,116,km,3.0,Ml
60 km al SO de Mina Collahuasi,-21.226 ,-69.050,2023-02-06,04:48:35,2023-02-06,07:48:35,92,km,4.3,Mw
30 km al O de El Tabo,-33.529 ,-71.977,2023-02-06,03:20:48,2023-02-06,06:20:48,45,km,2.6,Ml
62 km al N de Pica,-19.958 ,-69.148,2023-02-06,02:55:14,2023-02-06,05:55:14,97,km,2.9,Ml
54 km al E de Baquedano,-23.472 ,-69.339,2023-02-06,02:33:50,2023-02-06,05:33:50,86,km,2.5,Ml
27 km al SO de Visviri,-17.729 ,-69.700,2023-02-06,00:07:18,2023-02-06,03:07:18,146,km,4.0,Ml
26 km al E de CamiÃ±a,-19.373 ,-69.191,2023-02-05,22:36:29,2023-02-06,01:36:29,104,km,3.0,Ml
55 km al NO de ChaÃ±aral.,-25.928 ,-70.915,2023-02-05,21:53:55,2023-02-06,00:53:55,40,km,2.8,Ml
28 km al O de OllagÃ¼e,-21.183 ,-68.518,2023-02-05,21:38:22,2023-02-06,00:38:22,134,km,3.1,Ml
