evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
47 km al NO de Tongoy,-29.900 ,-71.750,2023-02-26,19:43:47,2023-02-26,22:43:47,38,km,2.5,Ml
39 km al NE de Calama,-22.177 ,-68.727,2023-02-26,19:29:37,2023-02-26,22:29:37,121,km,2.5,Ml
30 km al NO de Pica,-20.263 ,-69.489,2023-02-26,16:09:34,2023-02-26,19:09:34,73,km,2.7,Ml
111 km al O de Pichilemu,-33.963 ,-73.107,2023-02-26,15:58:39,2023-02-26,18:58:39,26,km,2.9,Ml
23 km al O de La Serena,-29.938 ,-71.489,2023-02-26,12:18:29,2023-02-26,15:18:29,45,km,2.8,Ml
56 km al S de Mina Collahuasi,-21.305 ,-68.822,2023-02-26,11:48:10,2023-02-26,14:48:10,117,km,3.4,Ml
8 km al SE de Pica,-20.542 ,-69.271,2023-02-26,11:00:31,2023-02-26,14:00:31,105,km,2.5,Ml
37 km al O de Ovalle,-30.583 ,-71.587,2023-02-26,10:45:37,2023-02-26,13:45:37,34,km,2.9,Ml
41 km al E de Pica,-20.468 ,-68.939,2023-02-26,10:43:43,2023-02-26,13:43:43,98,km,2.8,Ml
53 km al NE de Socaire,-23.345 ,-67.442,2023-02-26,10:26:37,2023-02-26,13:26:37,262,km,3.0,Ml
38 km al O de Arica,-18.559 ,-70.674,2023-02-26,08:46:05,2023-02-26,11:46:05,44,km,3.8,Ml
115 km al O de Pichilemu,-34.016 ,-73.173,2023-02-26,08:43:28,2023-02-26,11:43:28,54,km,2.9,Ml
42 km al SO de Los Vilos,-32.252 ,-71.706,2023-02-26,07:25:30,2023-02-26,10:25:30,22,km,2.6,Ml
73 km al O de Navidad,-33.860 ,-72.614,2023-02-26,06:53:47,2023-02-26,09:53:47,29,km,2.9,Ml
30 km al O de Ovalle,-30.645 ,-71.511,2023-02-26,00:30:55,2023-02-26,03:30:55,24,km,2.7,Ml
15 km al S de Mina Collahuasi,-20.966 ,-68.653,2023-02-25,23:31:55,2023-02-26,02:31:55,133,km,2.7,Ml
18 km al NE de Iquique,-20.112 ,-70.019,2023-02-25,21:51:55,2023-02-26,00:51:55,52,km,3.2,Ml
61 km al SO de Pica,-20.912 ,-69.711,2023-02-25,21:31:16,2023-02-26,00:31:16,94,km,2.5,Ml
