evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
26 km al S de Tierra Amarilla,-27.715 ,-70.270,2023-02-19,20:54:19,2023-02-19,23:54:19,85,km,2.7,Ml
35 km al N de San Pedro de Atacama,-22.607 ,-68.153,2023-02-19,19:08:40,2023-02-19,22:08:40,126,km,3.2,Ml
34 km al NO de San Pedro de Atacama,-22.777 ,-68.496,2023-02-19,18:22:24,2023-02-19,21:22:24,114,km,2.7,Ml
20 km al SO de Tongoy,-30.422 ,-71.576,2023-02-19,17:15:50,2023-02-19,20:15:50,15,km,4.0,Ml
139 km al O de Tortel,-48.043 ,-75.373,2023-02-19,15:52:38,2023-02-19,18:52:38,11,km,3.6,Ml
50 km al SO de Mina Collahuasi,-21.176 ,-68.958,2023-02-19,15:21:38,2023-02-19,18:21:38,113,km,2.8,Ml
34 km al NE de Calama,-22.221 ,-68.739,2023-02-19,14:25:31,2023-02-19,17:25:31,120,km,2.7,Ml
101 km al O de Pisagua,-19.913 ,-71.114,2023-02-19,10:39:02,2023-02-19,13:39:02,37,km,3.8,Ml
20 km al N de Calama,-22.297 ,-68.990,2023-02-19,09:12:58,2023-02-19,12:12:58,5,km,2.6,Ml
166 km al O de Puerto Ays̩n,-45.780 ,-74.763,2023-02-19,01:21:12,2023-02-19,04:21:12,16,km,3.3,Ml
101 km al O de Pisagua,-19.927 ,-71.117,2023-02-18,23:40:43,2023-02-19,02:40:43,36,km,5.3,Mw
