evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
49 km al O de La Ligua,-32.562 ,-71.741,2023-02-14,19:20:06,2023-02-14,22:20:06,41,km,3.0,Ml
47 km al SO de Huasco,-28.714 ,-71.610,2023-02-14,18:47:06,2023-02-14,21:47:06,19,km,3.8,Ml
55 km al N de Pica,-20.028 ,-69.148,2023-02-14,18:04:26,2023-02-14,21:04:26,93,km,2.9,Ml
5 km al NO de Sierra Gorda.,-22.871 ,-69.354,2023-02-14,18:00:18,2023-02-14,21:00:18,112,km,2.6,Ml
54 km al N de El Salvador,-25.757 ,-69.594,2023-02-14,17:46:00,2023-02-14,20:46:00,116,km,3.1,Ml
80 km al NE de Socaire,-23.117 ,-67.304,2023-02-14,16:46:43,2023-02-14,19:46:43,294,km,4.3,Ml
43 km al SO de OllagÃ¼e,-21.559 ,-68.461,2023-02-14,16:12:15,2023-02-14,19:12:15,134,km,2.6,Ml
75 km al NE de Calama,-21.973 ,-68.437,2023-02-14,15:18:59,2023-02-14,18:18:59,118,km,2.5,Ml
54 km al SE de Alto del Carmen,-29.046 ,-70.034,2023-02-14,15:02:11,2023-02-14,18:02:11,124,km,4.6,Mw
36 km al E de Tacna,-18.149 ,-69.934,2023-02-14,15:01:54,2023-02-14,18:01:54,110,km,3.7,Ml
67 km al SE de Sierra Gorda.,-23.262 ,-68.789,2023-02-14,14:17:04,2023-02-14,17:17:04,98,km,3.1,Ml
45 km al SO de Los Vilos,-32.276 ,-71.724,2023-02-14,13:28:16,2023-02-14,16:28:16,16,km,2.5,Ml
50 km al NO de ValparaÃ­so,-32.627 ,-71.797,2023-02-14,12:31:23,2023-02-14,15:31:23,31,km,3.1,Ml
48 km al N de ValparaÃ­so,-32.632 ,-71.766,2023-02-14,11:59:16,2023-02-14,14:59:16,32,km,3.7,Ml
87 km al N de Tocopilla,-21.316 ,-70.292,2023-02-14,11:52:50,2023-02-14,14:52:50,35,km,3.4,Ml
60 km al N de Mina Collahuasi,-20.290 ,-68.703,2023-02-14,10:22:48,2023-02-14,13:22:48,115,km,2.5,Ml
37 km al NE de Mina La Escondida.,-24.009 ,-68.828,2023-02-14,09:06:24,2023-02-14,12:06:24,102,km,3.0,Ml
109 km al NE de San Pedro de Atacama,-22.122 ,-67.579,2023-02-14,07:03:51,2023-02-14,10:03:51,234,km,3.4,Ml
42 km al N de Cobquecura,-35.757 ,-72.821,2023-02-14,06:23:44,2023-02-14,09:23:44,15,km,2.8,Ml
60 km al S de Socaire,-24.102 ,-67.713,2023-02-14,03:08:36,2023-02-14,06:08:36,230,km,3.6,Ml
78 km al E de Quillagua,-21.732 ,-68.786,2023-02-14,01:46:51,2023-02-14,04:46:51,106,km,3.1,Ml
25 km al N de Tocopilla,-21.886 ,-70.282,2023-02-13,21:11:35,2023-02-14,00:11:35,60,km,4.6,Mw
