evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
77 km al SO de OllagÃ¼e,-21.864 ,-68.542,2023-02-11,19:56:04,2023-02-11,22:56:04,122,km,3.1,Ml
57 km al SO de MarÃ­a Elena,-22.788 ,-69.933,2023-02-11,19:07:25,2023-02-11,22:07:25,56,km,4.1,Ml
73 km al SO de OllagÃ¼e,-21.786 ,-68.621,2023-02-11,17:23:14,2023-02-11,20:23:14,111,km,3.6,Ml
55 km al SO de Los Vilos,-32.273 ,-71.903,2023-02-11,13:21:34,2023-02-11,16:21:34,17,km,2.7,Ml
55 km al SO de OllagÃ¼e,-21.481 ,-68.703,2023-02-11,12:20:27,2023-02-11,15:20:27,109,km,2.7,Ml
20 km al O de Cuya,-19.090 ,-70.356,2023-02-11,12:07:28,2023-02-11,15:07:28,55,km,2.8,Ml
83 km al SO de Mina La Escondida.,-24.888 ,-69.518,2023-02-11,09:33:26,2023-02-11,12:33:26,83,km,3.6,Ml
43 km al SO de OllagÃ¼e,-21.406 ,-68.625,2023-02-11,07:00:43,2023-02-11,10:00:43,128,km,4.1,Ml
33 km al E de Talca,-35.355 ,-71.316,2023-02-11,06:19:26,2023-02-11,09:19:26,98,km,3.5,Ml
90 km al SE de Socaire,-24.337 ,-67.558,2023-02-11,01:24:55,2023-02-11,04:24:55,194,km,3.0,Ml
41 km al SO de Huasco,-28.805 ,-71.378,2023-02-10,21:52:41,2023-02-11,00:52:41,36,km,2.5,Ml
