evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
77 km al SE de Socaire,-24.165 ,-67.473,2022-10-15,18:45:23,2022-10-15,21:45:23,217,km,4.1,Ml
69 km al E de Quillagua,-21.496 ,-68.891,2022-10-15,18:06:25,2022-10-15,21:06:25,98,km,2.7,Ml
11 km al O de Andacollo,-30.216 ,-71.195,2022-10-15,16:17:00,2022-10-15,19:17:00,60,km,3.1,Ml
73 km al SE de Sierra Gorda.,-23.416 ,-68.868,2022-10-15,12:43:01,2022-10-15,15:43:01,98,km,3.1,Ml
63 km al S de Socaire,-24.154 ,-67.851,2022-10-15,12:19:37,2022-10-15,15:19:37,245,km,3.6,Ml
97 km al NE de El Salvador,-25.499 ,-69.114,2022-10-15,12:11:05,2022-10-15,15:11:05,108,km,4.0,Ml
16 km al N de Quillota,-32.740 ,-71.217,2022-10-15,11:41:05,2022-10-15,14:41:05,50,km,4.8,Mw
70 km al SE de Socaire,-24.168 ,-67.629,2022-10-15,09:33:09,2022-10-15,12:33:09,216,km,3.2,Ml
19 km al N de Ovalle,-30.429 ,-71.188,2022-10-15,05:09:11,2022-10-15,08:09:11,20,km,3.0,Ml
49 km al SO de OllagÃ¼e,-21.528 ,-68.595,2022-10-15,03:52:58,2022-10-15,06:52:58,127,km,3.9,Ml
23 km al E de El Salvador,-26.186 ,-69.399,2022-10-15,02:47:46,2022-10-15,05:47:46,116,km,3.0,Ml
28 km al E de Sierra Gorda.,-22.833 ,-69.053,2022-10-15,01:52:40,2022-10-15,04:52:40,94,km,3.0,Ml
44 km al O de La Ligua,-32.551 ,-71.682,2022-10-15,00:48:57,2022-10-15,03:48:57,35,km,3.5,Ml
56 km al N de Mejillones,-22.600 ,-70.544,2022-10-14,21:31:20,2022-10-15,00:31:20,15,km,3.9,Ml
