evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
12 km al SE de Calama,-22.558 ,-68.856,2022-10-23,20:50:40,2022-10-23,23:50:40,104,km,3.4,Ml
61 km al S de OllagÃ¼e,-21.747 ,-68.421,2022-10-23,19:05:37,2022-10-23,22:05:37,125,km,2.8,Ml
44 km al SO de Mina Collahuasi,-21.182 ,-68.855,2022-10-23,16:48:41,2022-10-23,19:48:41,107,km,2.5,Ml
23 km al S de Mina Collahuasi,-21.029 ,-68.598,2022-10-23,09:48:57,2022-10-23,12:48:57,130,km,2.7,Ml
32 km al NE de Pica,-20.325 ,-69.073,2022-10-23,06:46:18,2022-10-23,09:46:18,92,km,3.3,Ml
57 km al NO de Tocopilla,-21.692 ,-70.549,2022-10-23,06:24:14,2022-10-23,09:24:14,50,km,3.4,Ml
55 km al S de CamiÃ±a,-19.789 ,-69.566,2022-10-23,06:11:18,2022-10-23,09:11:18,105,km,3.1,Ml
36 km al SO de Mina Collahuasi,-21.085 ,-68.874,2022-10-23,06:03:21,2022-10-23,09:03:21,115,km,3.6,Ml
18 km al S de La Higuera,-29.676 ,-71.220,2022-10-23,04:05:05,2022-10-23,07:05:05,42,km,3.1,Ml
85 km al O de Iquique,-20.255 ,-70.962,2022-10-23,02:53:44,2022-10-23,05:53:44,16,km,2.6,Ml
52 km al SO de OllagÃ¼e,-21.642 ,-68.480,2022-10-23,02:24:56,2022-10-23,05:24:56,133,km,3.5,Ml
38 km al SE de Sierra Gorda.,-23.047 ,-68.982,2022-10-23,02:19:34,2022-10-23,05:19:34,94,km,3.2,Ml
15 km al SE de La Higuera,-29.583 ,-71.071,2022-10-23,01:36:17,2022-10-23,04:36:17,79,km,4.0,Ml
55 km al N de Calama,-21.974 ,-68.904,2022-10-22,23:08:31,2022-10-23,02:08:31,109,km,5.3,Mw
