evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
44 km al O de Punitaqui,-30.696 ,-71.686,2022-10-07,20:57:30,2022-10-07,23:57:30,31,km,3.0,Ml
32 km al NE de Calama,-22.345 ,-68.653,2022-10-07,19:37:27,2022-10-07,22:37:27,108,km,2.8,Ml
123 km al O de Pichilemu,-34.140 ,-73.318,2022-10-07,17:39:22,2022-10-07,20:39:22,45,km,3.6,Ml
10 km al SE de Calama,-22.531 ,-68.856,2022-10-07,09:01:43,2022-10-07,12:01:43,92,km,3.2,Ml
48 km al SO de Colchane.,-19.559 ,-68.983,2022-10-07,06:58:14,2022-10-07,09:58:14,113,km,2.8,Ml
46 km al SO de Colchane.,-19.541 ,-68.970,2022-10-07,06:54:06,2022-10-07,09:54:06,116,km,3.5,Ml
26 km al N de Calama,-22.250 ,-68.839,2022-10-07,05:54:27,2022-10-07,08:54:27,119,km,4.0,Ml
88 km al E de Alto del Carmen,-28.424 ,-69.669,2022-10-07,05:15:09,2022-10-07,08:15:09,109,km,2.7,Ml
33 km al O de Putre,-18.216 ,-69.872,2022-10-07,02:22:19,2022-10-07,05:22:19,90,km,3.4,Ml
26 km al O de OllagÃ¼e,-21.242 ,-68.500,2022-10-07,01:41:32,2022-10-07,04:41:32,136,km,2.7,Ml
49 km al NE de Calama,-22.097 ,-68.676,2022-10-07,01:29:42,2022-10-07,04:29:42,106,km,3.7,Ml
66 km al SO de OllagÃ¼e,-21.615 ,-68.736,2022-10-07,00:56:58,2022-10-07,03:56:58,119,km,2.7,Ml
38 km al O de La Ligua,-32.310 ,-71.597,2022-10-06,21:14:00,2022-10-07,00:14:00,40,km,2.6,Ml
