evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al NO de Quillagua,-21.402 ,-69.781,2022-10-03,20:40:20,2022-10-03,23:40:20,44,km,2.7,Ml
33 km al O de Cuya,-19.207 ,-70.491,2022-10-03,20:39:36,2022-10-03,23:39:36,48,km,2.8,Ml
91 km al SE de Socaire,-24.065 ,-67.167,2022-10-03,16:40:01,2022-10-03,19:40:01,235,km,4.4,Mw
75 km al SO de OllagÃ¼e,-21.783 ,-68.654,2022-10-03,16:06:37,2022-10-03,19:06:37,120,km,2.9,Ml
61 km al E de Entre Lagos,-40.659 ,-71.882,2022-10-03,15:23:27,2022-10-03,18:23:27,38,km,3.2,Ml
83 km al N de Mina Collahuasi,-20.088 ,-68.531,2022-10-03,15:01:34,2022-10-03,18:01:34,123,km,2.7,Ml
50 km al SO de Mina Collahuasi,-21.157 ,-68.988,2022-10-03,14:42:09,2022-10-03,17:42:09,116,km,2.7,Ml
53 km al SO de Mina Collahuasi,-21.258 ,-68.880,2022-10-03,13:41:29,2022-10-03,16:41:29,117,km,2.6,Ml
43 km al NE de Mina La Escondida.,-23.933 ,-68.855,2022-10-03,13:35:48,2022-10-03,16:35:48,103,km,2.5,Ml
66 km al S de Socaire,-24.171 ,-67.772,2022-10-03,12:38:30,2022-10-03,15:38:30,229,km,2.9,Ml
45 km al E de OllagÃ¼e,-21.302 ,-67.829,2022-10-03,11:02:09,2022-10-03,14:02:09,192,km,3.2,Ml
18 km al NO de Caldera,-26.991 ,-70.979,2022-10-03,10:17:25,2022-10-03,13:17:25,36,km,2.5,Ml
73 km al E de Socaire,-23.817 ,-67.221,2022-10-03,10:07:58,2022-10-03,13:07:58,237,km,2.8,Ml
47 km al SE de Socaire,-23.978 ,-67.702,2022-10-03,09:02:46,2022-10-03,12:02:46,224,km,2.7,Ml
104 km al SE de Socaire,-24.404 ,-67.382,2022-10-03,08:08:30,2022-10-03,11:08:30,187,km,3.5,Ml
40 km al SO de Los Vilos,-32.076 ,-71.892,2022-10-03,07:51:04,2022-10-03,10:51:04,29,km,2.9,Ml
120 km al SE de Socaire,-24.185 ,-66.902,2022-10-03,07:16:04,2022-10-03,10:16:04,226,km,4.1,Ml
53 km al O de Socaire,-23.406 ,-68.365,2022-10-03,06:38:23,2022-10-03,09:38:23,127,km,3.2,Ml
43 km al N de Mejillones,-22.718 ,-70.474,2022-10-03,05:04:42,2022-10-03,08:04:42,37,km,4.5,Ml
9 km al NO de Calama,-22.398 ,-68.975,2022-10-03,03:02:55,2022-10-03,06:02:55,109,km,2.6,Ml
126 km al SO de Lebu,-38.152 ,-74.919,2022-10-03,02:26:22,2022-10-03,05:26:22,16,km,2.5,Ml
76 km al NE de Calama,-21.907 ,-68.506,2022-10-03,01:33:18,2022-10-03,04:33:18,125,km,2.5,Ml
81 km al NE de San Pedro de Atacama,-22.361 ,-67.696,2022-10-02,23:03:45,2022-10-03,02:03:45,206,km,3.1,Ml
