evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
82 km al NE de Socaire,-23.130 ,-67.267,2022-10-06,15:47:12,2022-10-06,18:47:12,260,km,3.8,Ml
51 km al S de Antofagasta,-24.091 ,-70.296,2022-10-06,15:38:41,2022-10-06,18:38:41,44,km,2.9,Ml
12 km al E de CuricÃ³,-35.012 ,-71.111,2022-10-06,14:57:50,2022-10-06,17:57:50,99,km,3.5,Ml
24 km al O de Mina Collahuasi,-20.872 ,-68.887,2022-10-06,12:07:04,2022-10-06,15:07:04,102,km,2.7,Ml
35 km al N de Pica,-20.182 ,-69.260,2022-10-06,09:44:07,2022-10-06,12:44:07,86,km,2.8,Ml
37 km al NO de Mina Collahuasi,-20.599 ,-68.914,2022-10-06,08:26:14,2022-10-06,11:26:14,104,km,2.7,Ml
23 km al NO de La Ligua,-32.350 ,-71.442,2022-10-06,03:52:36,2022-10-06,06:52:36,44,km,2.8,Ml
66 km al SO de OllagÃ¼e,-21.716 ,-68.605,2022-10-05,23:05:20,2022-10-06,02:05:20,125,km,3.1,Ml
70 km al O de Navidad,-33.721 ,-72.541,2022-10-05,22:45:35,2022-10-06,01:45:35,38,km,2.8,Ml
48 km al N de Mejillones,-22.665 ,-70.482,2022-10-05,21:52:21,2022-10-06,00:52:21,28,km,2.6,Ml
