evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
151 km al O de Lebu,-38.169 ,-75.229,2023-01-11,19:30:47,2023-01-11,22:30:47,10,km,3.6,M
40 km al SO de Taltal,-25.614 ,-70.814,2023-01-11,17:20:14,2023-01-11,20:20:14,54,km,4.0,Ml
55 km al SO de Mina Collahuasi,-21.175 ,-69.035,2023-01-11,16:38:58,2023-01-11,19:38:58,100,km,2.6,Ml
30 km al NE de Salamanca,-31.576 ,-70.762,2023-01-11,11:22:26,2023-01-11,14:22:26,82,km,2.9,Ml
29 km al SO de Canela Baja,-31.641 ,-71.568,2023-01-11,10:18:56,2023-01-11,13:18:56,32,km,2.6,Ml
44 km al SO de OllagÃ¼e,-21.504 ,-68.555,2023-01-11,09:16:27,2023-01-11,12:16:27,127,km,3.3,Ml
43 km al N de Pica,-20.128 ,-69.200,2023-01-11,09:08:30,2023-01-11,12:08:30,97,km,2.6,Ml
40 km al SO de OllagÃ¼e,-21.517 ,-68.478,2023-01-11,09:03:32,2023-01-11,12:03:32,130,km,3.8,Ml
24 km al O de Calama,-22.476 ,-69.165,2023-01-11,08:20:15,2023-01-11,11:20:15,86,km,2.8,Ml
21 km al SO de Salamanca,-31.933 ,-71.096,2023-01-11,08:18:14,2023-01-11,11:18:14,77,km,2.6,Ml
54 km al NE de Alto del Carmen,-28.494 ,-70.027,2023-01-11,06:33:26,2023-01-11,09:33:26,95,km,3.0,Ml
16 km al NE de Baquedano,-23.256 ,-69.714,2023-01-11,05:50:12,2023-01-11,08:50:12,65,km,2.6,Ml
40 km al E de Sierra Gorda.,-23.005 ,-68.942,2023-01-11,04:00:34,2023-01-11,07:00:34,108,km,2.6,Ml
66 km al N de Pica,-19.916 ,-69.176,2023-01-11,00:32:40,2023-01-11,03:32:40,96,km,2.8,Ml
28 km al N de Cauquenes,-35.727 ,-72.225,2023-01-11,00:24:38,2023-01-11,03:24:38,48,km,3.0,Ml
54 km al SO de Huasco,-28.912 ,-71.437,2023-01-10,22:32:16,2023-01-11,01:32:16,33,km,2.6,Ml
30 km al O de OllagÃ¼e,-21.221 ,-68.539,2023-01-10,21:37:09,2023-01-11,00:37:09,176,km,3.1,Ml
6 km al E de Calama,-22.455 ,-68.875,2023-01-10,21:36:31,2023-01-11,00:36:31,106,km,2.6,Ml
