evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
76 km al S de OllagÃ¼e,-21.878 ,-68.474,2023-01-09,19:22:31,2023-01-09,22:22:31,116,km,3.1,Ml
20 km al NE de Putre,-18.030 ,-69.476,2023-01-09,17:38:46,2023-01-09,20:38:46,125,km,3.3,Ml
37 km al N de Calama,-22.141 ,-68.897,2023-01-09,15:36:59,2023-01-09,18:36:59,112,km,3.2,Ml
21 km al NO de Andacollo,-30.141 ,-71.279,2023-01-09,15:03:03,2023-01-09,18:03:03,66,km,2.9,Ml
75 km al SE de Sierra Gorda.,-23.486 ,-68.961,2023-01-09,13:44:37,2023-01-09,16:44:37,109,km,3.0,Ml
36 km al NO de ValparaÃ­so,-32.753 ,-71.773,2023-01-09,13:32:44,2023-01-09,16:32:44,20,km,2.5,Ml
69 km al SO de OllagÃ¼e,-21.740 ,-68.617,2023-01-09,11:25:06,2023-01-09,14:25:06,118,km,2.9,Ml
45 km al SO de Los Vilos,-32.260 ,-71.757,2023-01-09,08:44:58,2023-01-09,11:44:58,24,km,3.2,Ml
62 km al NE de San Pedro de Atacama,-22.406 ,-67.957,2023-01-09,08:22:02,2023-01-09,11:22:02,208,km,4.1,Ml
52 km al NE de Socaire,-23.229 ,-67.558,2023-01-09,08:16:10,2023-01-09,11:16:10,264,km,3.3,Ml
30 km al E de Pica,-20.408 ,-69.053,2023-01-09,06:51:54,2023-01-09,09:51:54,106,km,2.8,Ml
15 km al SE de ValparaÃ­so,-33.149 ,-71.510,2023-01-09,06:50:16,2023-01-09,09:50:16,42,km,2.5,Ml
27 km al NO de Putre,-18.074 ,-69.785,2023-01-09,06:31:01,2023-01-09,09:31:01,122,km,3.0,Ml
71 km al E de Socaire,-23.845 ,-67.255,2023-01-09,06:25:09,2023-01-09,09:25:09,260,km,3.5,Ml
44 km al NE de Pozo Almonte,-20.035 ,-69.437,2023-01-09,06:09:46,2023-01-09,09:09:46,119,km,3.9,Ml
154 km al O de Huasco,-28.879 ,-72.732,2023-01-09,05:43:52,2023-01-09,08:43:52,10,km,4.8,Ml
46 km al NE de Calama,-22.118 ,-68.704,2023-01-09,04:56:24,2023-01-09,07:56:24,116,km,3.3,Ml
170 km al O de Valdivia,-39.401 ,-75.159,2023-01-09,04:46:14,2023-01-09,07:46:14,18,km,3.6,Ml
125 km al SE de Tierra Amarilla,-28.032 ,-69.160,2023-01-09,02:29:07,2023-01-09,05:29:07,114,km,2.6,Ml
31 km al O de ChaÃ±aral.,-26.235 ,-70.902,2023-01-09,02:19:25,2023-01-09,05:19:25,24,km,2.8,Ml
16 km al N de ConcepciÃ³n,-36.683 ,-73.021,2023-01-09,00:33:09,2023-01-09,03:33:09,28,km,2.7,Ml
20 km al O de Ovalle,-30.549 ,-71.398,2023-01-09,00:27:03,2023-01-09,03:27:03,42,km,2.5,Ml
59 km al SE de Socaire,-23.983 ,-67.499,2023-01-08,23:05:22,2023-01-09,02:05:22,227,km,3.7,Ml
5 km al NE de Mina Los Pelambres,-31.794 ,-70.549,2023-01-08,21:56:40,2023-01-09,00:56:40,122,km,2.7,Ml
