evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
39 km al O de La Serena,-29.841 ,-71.647,2023-01-03,20:22:03,2023-01-03,23:22:03,64,km,3.0,Ml
31 km al SO de Calama,-22.717 ,-69.063,2023-01-03,19:54:45,2023-01-03,22:54:45,102,km,2.6,Ml
26 km al SE de Calama,-22.678 ,-68.822,2023-01-03,17:04:50,2023-01-03,20:04:50,85,km,2.6,Ml
19 km al SO de Mina Collahuasi,-20.923 ,-68.804,2023-01-03,16:52:05,2023-01-03,19:52:05,107,km,2.5,Ml
29 km al NO de Mina Collahuasi,-20.676 ,-68.887,2023-01-03,15:19:16,2023-01-03,18:19:16,103,km,2.5,Ml
54 km al S de Mina Collahuasi,-21.294 ,-68.812,2023-01-03,12:21:35,2023-01-03,15:21:35,109,km,2.9,Ml
60 km al SO de Mina La Escondida.,-24.637 ,-69.493,2023-01-03,10:19:44,2023-01-03,13:19:44,78,km,2.7,Ml
75 km al SE de Socaire,-23.970 ,-67.278,2023-01-03,10:08:00,2023-01-03,13:08:00,245,km,3.8,Ml
34 km al N de ChaÃ±aral.,-26.042 ,-70.659,2023-01-03,07:23:46,2023-01-03,10:23:46,48,km,3.3,Ml
84 km al O de ConstituciÃ³n,-35.380 ,-73.336,2023-01-03,04:56:30,2023-01-03,07:56:30,32,km,3.3,Ml
37 km al O de Pichilemu,-34.425 ,-72.414,2023-01-03,02:51:10,2023-01-03,05:51:10,24,km,2.9,Ml
71 km al SO de San Pedro de Atacama,-23.452 ,-68.585,2023-01-03,01:59:41,2023-01-03,04:59:41,109,km,3.4,Ml
51 km al NO de Cobquecura,-35.804 ,-73.189,2023-01-03,00:43:30,2023-01-03,03:43:30,34,km,2.8,Ml
20 km al O de La Higuera,-29.515 ,-71.412,2023-01-02,23:25:37,2023-01-03,02:25:37,39,km,2.7,Ml
29 km al NE de Arica,-18.332 ,-70.099,2023-01-02,23:09:55,2023-01-03,02:09:55,91,km,3.6,Ml
