evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
90 km al NO de Tortel,-47.041 ,-73.960,2023-01-08,20:42:33,2023-01-08,23:42:33,39,km,2.6,Ml
41 km al NO de ValparaÃ­so,-32.726 ,-71.834,2023-01-08,20:21:53,2023-01-08,23:21:53,30,km,3.1,Ml
29 km al S de Mina Collahuasi,-21.083 ,-68.631,2023-01-08,17:23:59,2023-01-08,20:23:59,129,km,4.3,Mw
80 km al S de OllagÃ¼e,-21.926 ,-68.416,2023-01-08,16:44:23,2023-01-08,19:44:23,126,km,3.0,Ml
20 km al SO de Quillota,-33.045 ,-71.341,2023-01-08,16:28:46,2023-01-08,19:28:46,58,km,4.2,Mw
39 km al NE de Calama,-22.175 ,-68.729,2023-01-08,15:39:13,2023-01-08,18:39:13,120,km,2.7,Ml
47 km al SO de OllagÃ¼e,-21.569 ,-68.520,2023-01-08,14:36:20,2023-01-08,17:36:20,141,km,2.8,Ml
31 km al SO de ChaÃ±aral.,-26.576 ,-70.806,2023-01-08,14:20:20,2023-01-08,17:20:20,26,km,3.1,Ml
63 km al SE de Antofagasta,-24.136 ,-70.104,2023-01-08,12:10:36,2023-01-08,15:10:36,54,km,3.5,Ml
32 km al S de San Pedro de Atacama,-23.203 ,-68.148,2023-01-08,09:01:17,2023-01-08,12:01:17,242,km,2.8,Ml
82 km al E de Socaire,-23.471 ,-67.097,2023-01-08,08:53:48,2023-01-08,11:53:48,245,km,4.0,Ml
77 km al S de Socaire,-24.281 ,-67.938,2023-01-08,08:05:47,2023-01-08,11:05:47,248,km,3.1,Ml
66 km al SE de Socaire,-24.007 ,-67.432,2023-01-08,07:37:24,2023-01-08,10:37:24,217,km,3.2,Ml
27 km al N de La Higuera,-29.271 ,-71.239,2023-01-08,03:57:52,2023-01-08,06:57:52,52,km,3.7,Ml
15 km al E de Tongoy,-30.254 ,-71.337,2023-01-08,03:42:11,2023-01-08,06:42:11,55,km,3.2,Ml
51 km al SO de Mina Collahuasi,-21.155 ,-69.006,2023-01-08,03:25:58,2023-01-08,06:25:58,111,km,2.8,Ml
21 km al E de Pica,-20.458 ,-69.130,2023-01-08,01:47:15,2023-01-08,04:47:15,104,km,2.6,Ml
22 km al S de Visviri,-17.792 ,-69.530,2023-01-07,23:39:47,2023-01-08,02:39:47,142,km,3.4,Ml
41 km al SE de Pica,-20.789 ,-69.105,2023-01-07,23:31:34,2023-01-08,02:31:34,97,km,2.7,Ml
45 km al NO de Mina Collahuasi,-20.475 ,-68.865,2023-01-07,22:24:44,2023-01-08,01:24:44,115,km,2.5,Ml
36 km al N de CamiÃ±a,-18.987 ,-69.436,2023-01-07,21:06:25,2023-01-08,00:06:25,112,km,2.6,Ml
