evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
16 km al N de Canela Baja,-31.256 ,-71.442,2023-01-12,17:53:30,2023-01-12,20:53:30,59,km,3.1,Ml
25 km al NO de La Serena,-29.778 ,-71.468,2023-01-12,16:03:04,2023-01-12,19:03:04,55,km,3.1,Ml
26 km al SO de Navidad,-34.064 ,-72.076,2023-01-12,14:30:51,2023-01-12,17:30:51,27,km,2.8,Ml
76 km al E de Taltal,-25.310 ,-69.737,2023-01-12,14:26:52,2023-01-12,17:26:52,81,km,3.1,Ml
26 km al N de Calama,-22.249 ,-68.844,2023-01-12,13:12:41,2023-01-12,16:12:41,109,km,4.1,Ml
5 km al SO de Ovalle,-30.638 ,-71.229,2023-01-12,11:24:09,2023-01-12,14:24:09,50,km,4.5,Mw
37 km al SE de Putre,-18.435 ,-69.316,2023-01-12,10:14:04,2023-01-12,13:14:04,124,km,4.4,Ml
23 km al NO de Quillagua,-21.532 ,-69.704,2023-01-12,08:39:19,2023-01-12,11:39:19,17,km,2.9,Ml
57 km al N de La Higuera,-29.003 ,-71.246,2023-01-12,06:22:19,2023-01-12,09:22:19,54,km,3.6,Ml
16 km al SE de Huasco,-28.575 ,-71.111,2023-01-12,04:11:30,2023-01-12,07:11:30,43,km,3.0,Ml
3 km al SO de Ovalle,-30.622 ,-71.229,2023-01-12,03:40:56,2023-01-12,06:40:56,38,km,2.5,Ml
10 km al O de Ovalle,-30.630 ,-71.300,2023-01-12,03:19:11,2023-01-12,06:19:11,54,km,5.6,Mw
85 km al SO de San Pedro de Atacama,-23.481 ,-68.759,2023-01-12,01:40:58,2023-01-12,04:40:58,107,km,2.7,Ml
37 km al NO de Putre,-17.926 ,-69.758,2023-01-11,22:56:52,2023-01-12,01:56:52,126,km,2.8,Ml
