evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
35 km al SO de OllagÃ¼e,-21.421 ,-68.523,2023-01-10,14:29:35,2023-01-10,17:29:35,114,km,3.4,Ml
21 km al NE de Las Cabras,-34.131 ,-71.192,2023-01-10,13:24:38,2023-01-10,16:24:38,71,km,2.9,Ml
134 km al O de Lebu,-37.967 ,-75.109,2023-01-10,11:33:01,2023-01-10,14:33:01,6,km,3.0,Ml
20 km al E de Pica,-20.501 ,-69.140,2023-01-10,10:28:42,2023-01-10,13:28:42,107,km,3.0,Ml
39 km al NO de Mina Collahuasi,-20.663 ,-68.985,2023-01-10,10:16:39,2023-01-10,13:16:39,101,km,2.8,Ml
11 km al NE de Antofagasta,-23.564 ,-70.349,2023-01-10,08:57:45,2023-01-10,11:57:45,39,km,3.6,Ml
16 km al O de OllagÃ¼e,-21.257 ,-68.402,2023-01-10,07:48:48,2023-01-10,10:48:48,135,km,2.7,Ml
64 km al SO de OllagÃ¼e,-21.749 ,-68.506,2023-01-10,06:44:22,2023-01-10,09:44:22,138,km,4.3,Ml
14 km al E de Calama,-22.476 ,-68.796,2023-01-10,02:30:46,2023-01-10,05:30:46,108,km,2.7,Ml
27 km al N de Sierra Gorda.,-22.655 ,-69.313,2023-01-09,23:41:00,2023-01-10,02:41:00,81,km,2.9,Ml
75 km al SO de OllagÃ¼e,-21.824 ,-68.583,2023-01-09,23:01:20,2023-01-10,02:01:20,117,km,2.5,Ml
12 km al SO de Los Vilos,-31.991 ,-71.604,2023-01-09,22:47:51,2023-01-10,01:47:51,40,km,2.9,Ml
13 km al SO de Los Vilos,-31.983 ,-71.618,2023-01-09,22:45:41,2023-01-10,01:45:41,37,km,3.1,Ml
65 km al SO de OllagÃ¼e,-21.760 ,-68.507,2023-01-09,22:10:45,2023-01-10,01:10:45,122,km,2.7,Ml
