evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
108 km al SE de OllagÃ¼e,-21.998 ,-67.620,2023-01-01,18:51:22,2023-01-01,21:51:22,240,km,3.8,Ml
36 km al E de Pica,-20.465 ,-68.985,2023-01-01,17:37:55,2023-01-01,20:37:55,101,km,2.7,Ml
42 km al S de Calama,-22.838 ,-68.821,2023-01-01,16:55:56,2023-01-01,19:55:56,86,km,2.7,Ml
42 km al NE de Pica,-20.160 ,-69.144,2023-01-01,16:50:28,2023-01-01,19:50:28,98,km,2.8,Ml
104 km al S de Socaire,-24.523 ,-68.002,2023-01-01,13:20:31,2023-01-01,16:20:31,149,km,3.8,Ml
10 km al S de Los Andes.,-32.919 ,-70.604,2023-01-01,10:46:30,2023-01-01,13:46:30,98,km,3.0,Ml
58 km al SO de Mina Collahuasi,-21.206 ,-69.046,2023-01-01,10:27:30,2023-01-01,13:27:30,92,km,3.9,Ml
25 km al SE de Sierra Gorda.,-23.014 ,-69.108,2023-01-01,09:19:00,2023-01-01,12:19:00,115,km,5.2,Ml
9 km al E de Cuya,-19.184 ,-70.093,2023-01-01,08:44:54,2023-01-01,11:44:54,54,km,2.5,Ml
22 km al O de Mina Collahuasi,-20.893 ,-68.857,2023-01-01,08:41:07,2023-01-01,11:41:07,101,km,3.0,Ml
86 km al O de Socaire,-23.526 ,-68.729,2023-01-01,07:24:00,2023-01-01,10:24:00,97,km,2.5,Ml
82 km al S de Antofagasta,-24.379 ,-70.322,2023-01-01,07:12:02,2023-01-01,10:12:02,34,km,2.5,Ml
39 km al NE de CopiapÃ³,-27.188 ,-69.990,2023-01-01,04:55:27,2023-01-01,07:55:27,90,km,2.5,Ml
72 km al N de Calama,-21.856 ,-68.700,2023-01-01,04:49:28,2023-01-01,07:49:28,115,km,2.7,Ml
18 km al S de Las Cabras,-34.454 ,-71.311,2023-01-01,04:09:17,2023-01-01,07:09:17,64,km,2.5,Ml
75 km al S de Socaire,-24.254 ,-67.769,2023-01-01,03:33:31,2023-01-01,06:33:31,242,km,3.2,Ml
46 km al O de Taltal,-25.573 ,-70.903,2023-01-01,03:29:41,2023-01-01,06:29:41,40,km,2.6,Ml
27 km al SO de Pichilemu,-34.525 ,-72.250,2023-01-01,02:59:40,2023-01-01,05:59:40,25,km,2.5,Ml
31 km al E de Pica,-20.441 ,-69.037,2023-01-01,02:03:04,2023-01-01,05:03:04,112,km,3.2,Ml
67 km al S de Socaire,-24.175 ,-67.728,2022-12-31,23:46:37,2023-01-01,02:46:37,288,km,2.9,Ml
39 km al S de Huasco,-28.804 ,-71.339,2022-12-31,23:05:30,2023-01-01,02:05:30,42,km,2.6,Ml
38 km al E de Socaire,-23.541 ,-67.523,2022-12-31,21:54:43,2023-01-01,00:54:43,258,km,2.5,Ml
