evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
65 km al N de Pica,-19.912 ,-69.281,2023-01-24,18:25:12,2023-01-24,21:25:12,90,km,2.9,Ml
81 km al SE de Socaire,-24.197 ,-67.456,2023-01-24,17:36:26,2023-01-24,20:36:26,217,km,3.4,Ml
32 km al E de Pica,-20.428 ,-69.027,2023-01-24,16:17:57,2023-01-24,19:17:57,109,km,3.4,Ml
46 km al SO de OllagÃ¼e,-21.597 ,-68.436,2023-01-24,16:08:30,2023-01-24,19:08:30,117,km,4.4,Ml
50 km al E de El Salvador,-26.205 ,-69.118,2023-01-24,15:54:24,2023-01-24,18:54:24,112,km,3.3,Ml
150 km al NE de Santiago del Estero,-26.764 ,-63.269,2023-01-24,15:37:01,2023-01-24,18:37:01,572,km,6.3,Mww
14 km al SE de Calama,-22.571 ,-68.851,2023-01-24,13:57:45,2023-01-24,16:57:45,120,km,2.6,Ml
49 km al S de OllagÃ¼e,-21.649 ,-68.391,2023-01-24,11:58:37,2023-01-24,14:58:37,133,km,3.1,Ml
42 km al SO de Mina Collahuasi,-21.105 ,-68.938,2023-01-24,11:53:32,2023-01-24,14:53:32,110,km,2.7,Ml
42 km al NO de Canela Baja,-31.068 ,-71.664,2023-01-24,11:28:33,2023-01-24,14:28:33,73,km,4.2,Ml
39 km al O de San Pedro de Atacama,-22.792 ,-68.554,2023-01-24,11:26:27,2023-01-24,14:26:27,114,km,3.1,Ml
42 km al N de Pica,-20.135 ,-69.191,2023-01-24,09:34:12,2023-01-24,12:34:12,100,km,2.9,Ml
134 km al O de ConstituciÃ³n,-34.962 ,-73.815,2023-01-24,09:21:11,2023-01-24,12:21:11,35,km,3.0,Ml
23 km al SO de OllagÃ¼e,-21.340 ,-68.443,2023-01-24,08:23:09,2023-01-24,11:23:09,121,km,4.6,Mw
71 km al SE de Socaire,-24.184 ,-67.632,2023-01-24,03:00:59,2023-01-24,06:00:59,227,km,3.3,Ml
10 km al SO de Ovalle,-30.642 ,-71.297,2023-01-24,00:40:46,2023-01-24,03:40:46,55,km,3.2,Ml
80 km al N de Mina La Escondida.,-23.561 ,-68.896,2023-01-24,00:17:40,2023-01-24,03:17:40,96,km,2.6,Ml
46 km al SO de Mina Collahuasi,-21.099 ,-68.997,2023-01-23,23:32:39,2023-01-24,02:32:39,116,km,3.0,Ml
70 km al SO de OllagÃ¼e,-21.765 ,-68.592,2023-01-23,23:13:40,2023-01-24,02:13:40,130,km,3.2,Ml
18 km al SO de Mina Collahuasi,-20.921 ,-68.793,2023-01-23,23:05:29,2023-01-24,02:05:29,113,km,2.9,Ml
68 km al E de Socaire,-23.836 ,-67.278,2023-01-23,22:27:16,2023-01-24,01:27:16,267,km,3.1,Ml
