evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
40 km al NE de CamiÃ±a,-19.166 ,-69.078,2023-01-04,20:23:47,2023-01-04,23:23:47,126,km,5.1,Mw
16 km al O de Punitaqui,-30.780 ,-71.410,2023-01-04,16:42:54,2023-01-04,19:42:54,40,km,4.0,Ml
43 km al O de Tongoy,-30.419 ,-71.898,2023-01-04,15:29:14,2023-01-04,18:29:14,32,km,3.8,Ml
31 km al N de Mina Los Pelambres,-31.546 ,-70.567,2023-01-04,15:15:32,2023-01-04,18:15:32,113,km,2.6,Ml
118 km al O de Navidad,-33.512 ,-72.995,2023-01-04,12:55:48,2023-01-04,15:55:48,30,km,3.1,Ml
41 km al E de Sierra Gorda.,-22.995 ,-68.929,2023-01-04,12:29:39,2023-01-04,15:29:39,96,km,4.5,Mw
26 km al NO de Mejillones,-22.981 ,-70.670,2023-01-04,07:41:47,2023-01-04,10:41:47,5,km,3.0,Ml
45 km al SO de Mina Collahuasi,-21.203 ,-68.814,2023-01-04,06:00:52,2023-01-04,09:00:52,119,km,3.0,Ml
7 km al O de CopiapÃ³,-27.360 ,-70.407,2023-01-04,03:21:27,2023-01-04,06:21:27,83,km,2.5,Ml
48 km al NE de Cuya,-18.911 ,-69.808,2023-01-04,00:01:31,2023-01-04,03:01:31,82,km,2.8,Ml
