evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
19 km al NE de Calama,-22.392 ,-68.765,2023-01-18,20:26:51,2023-01-18,23:26:51,118,km,2.5,Ml
54 km al N de CamiÃ±a,-18.826 ,-69.459,2023-01-18,15:56:19,2023-01-18,18:56:19,103,km,3.4,Ml
79 km al E de Alto del Carmen,-28.604 ,-69.701,2023-01-18,12:18:01,2023-01-18,15:18:01,119,km,3.3,Ml
41 km al SO de Mina Collahuasi,-21.095 ,-68.922,2023-01-18,12:06:42,2023-01-18,15:06:42,112,km,3.0,Ml
27 km al E de OllagÃ¼e,-21.159 ,-68.000,2023-01-18,10:56:52,2023-01-18,13:56:52,181,km,3.6,Ml
47 km al NE de Calama,-22.130 ,-68.655,2023-01-18,10:46:05,2023-01-18,13:46:05,116,km,2.8,Ml
72 km al NO de Lebu,-37.166 ,-74.247,2023-01-18,08:16:22,2023-01-18,11:16:22,35,km,3.4,Ml
3 km al E de Navidad,-33.955 ,-71.797,2023-01-18,07:10:36,2023-01-18,10:10:36,38,km,2.6,Ml
42 km al SO de Tongoy,-30.502 ,-71.826,2023-01-18,04:29:00,2023-01-18,07:29:00,33,km,4.2,Ml
62 km al SE de CamiÃ±a,-19.831 ,-69.196,2023-01-18,01:36:55,2023-01-18,04:36:55,96,km,3.5,Ml
50 km al O de Arica,-18.653 ,-70.756,2023-01-17,21:32:04,2023-01-18,00:32:04,22,km,3.3,Ml
