evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al SO de Pichilemu,-34.587 ,-72.344,2022-11-23,20:24:56,2022-11-23,23:24:56,24,km,2.7,Ml
32 km al SE de Pica,-20.686 ,-69.110,2022-11-23,14:39:01,2022-11-23,17:39:01,98,km,2.9,Ml
24 km al O de OllagÃ¼e,-21.189 ,-68.479,2022-11-23,12:49:02,2022-11-23,15:49:02,128,km,3.0,Ml
55 km al SO de OllagÃ¼e,-21.676 ,-68.471,2022-11-23,11:48:36,2022-11-23,14:48:36,132,km,3.7,Ml
48 km al E de Pica,-20.388 ,-68.887,2022-11-23,11:10:01,2022-11-23,14:10:01,117,km,3.2,Ml
29 km al NE de Farellones,-33.109 ,-70.201,2022-11-23,09:28:41,2022-11-23,12:28:41,118,km,3.3,Ml
69 km al SO de OllagÃ¼e,-21.735 ,-68.636,2022-11-23,09:11:01,2022-11-23,12:11:01,122,km,2.9,Ml
80 km al S de Socaire,-24.284 ,-67.681,2022-11-23,07:02:38,2022-11-23,10:02:38,232,km,3.1,Ml
57 km al E de Sierra Gorda.,-23.080 ,-68.796,2022-11-23,06:28:07,2022-11-23,09:28:07,94,km,2.7,Ml
32 km al NE de Taltal,-25.145 ,-70.364,2022-11-23,06:16:32,2022-11-23,09:16:32,46,km,3.3,Ml
57 km al SE de CamiÃ±a,-19.748 ,-69.145,2022-11-23,05:58:50,2022-11-23,08:58:50,96,km,3.6,Ml
27 km al E de Talca,-35.369 ,-71.372,2022-11-23,05:53:13,2022-11-23,08:53:13,84,km,5.1,Mw
57 km al O de QuellÃ³n,-43.085 ,-74.326,2022-11-23,04:54:39,2022-11-23,07:54:39,22,km,2.5,Ml
26 km al NO de Canela Baja,-31.295 ,-71.704,2022-11-23,04:43:05,2022-11-23,07:43:05,35,km,2.5,Ml
15 km al NO de Melipilla,-33.585 ,-71.330,2022-11-23,04:36:15,2022-11-23,07:36:15,53,km,4.0,Ml
73 km al SE de Socaire,-24.072 ,-67.408,2022-11-23,02:33:53,2022-11-23,05:33:53,244,km,2.8,Ml
61 km al O de La Ligua,-32.521 ,-71.879,2022-11-23,01:29:02,2022-11-23,04:29:02,36,km,3.0,Ml
49 km al E de Socaire,-23.720 ,-67.429,2022-11-23,00:55:25,2022-11-23,03:55:25,245,km,2.7,Ml
66 km al O de Tongoy,-30.176 ,-72.180,2022-11-22,22:19:53,2022-11-23,01:19:53,34,km,2.9,Ml
44 km al O de Quillagua,-21.652 ,-69.961,2022-11-22,22:17:07,2022-11-23,01:17:07,81,km,3.4,Ml
71 km al SO de OllagÃ¼e,-21.791 ,-68.569,2022-11-22,21:58:57,2022-11-23,00:58:57,129,km,2.6,Ml
