evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
78 km al O de Cobquecura,-36.160 ,-73.666,2022-11-27,20:27:44,2022-11-27,23:27:44,30,km,3.3,Ml
76 km al SO de Tongoy,-30.731 ,-72.065,2022-11-27,20:05:02,2022-11-27,23:05:02,16,km,3.0,Ml
73 km al SO de Tongoy,-30.730 ,-72.016,2022-11-27,20:04:12,2022-11-27,23:04:12,18,km,2.9,Ml
42 km al SO de Los Vilos,-32.244 ,-71.732,2022-11-27,18:42:25,2022-11-27,21:42:25,44,km,2.8,Ml
21 km al O de CamiÃ±a,-19.372 ,-69.615,2022-11-27,18:11:28,2022-11-27,21:11:28,81,km,2.8,Ml
68 km al S de Socaire,-24.194 ,-67.804,2022-11-27,17:49:01,2022-11-27,20:49:01,222,km,3.1,Ml
74 km al NE de Calama,-21.889 ,-68.572,2022-11-27,13:37:18,2022-11-27,16:37:18,106,km,2.5,Ml
107 km al E de Socaire,-23.464 ,-66.851,2022-11-27,12:45:13,2022-11-27,15:45:13,200,km,3.0,Ml
26 km al NE de VichuquÃ©n,-34.715 ,-71.801,2022-11-27,12:29:38,2022-11-27,15:29:38,41,km,4.0,Ml
49 km al NO de Mina Collahuasi,-20.432 ,-68.856,2022-11-27,11:32:32,2022-11-27,14:32:32,116,km,2.5,Ml
10 km al SO de Pichilemu,-34.443 ,-72.097,2022-11-27,08:56:38,2022-11-27,11:56:38,23,km,2.5,Ml
10 km al NE de Los Vilos,-31.861 ,-71.422,2022-11-27,08:11:50,2022-11-27,11:11:50,47,km,3.0,Ml
21 km al O de Cauquenes,-35.934 ,-72.540,2022-11-27,07:43:50,2022-11-27,10:43:50,62,km,2.6,Ml
46 km al S de CuricÃ³,-35.382 ,-71.089,2022-11-27,07:34:12,2022-11-27,10:34:12,105,km,2.5,Ml
20 km al SO de Arica,-18.556 ,-70.496,2022-11-27,06:48:25,2022-11-27,09:48:25,44,km,2.8,Ml
71 km al E de Socaire,-23.593 ,-67.195,2022-11-27,04:58:53,2022-11-27,07:58:53,263,km,2.9,Ml
29 km al S de Calama,-22.722 ,-69.008,2022-11-27,04:08:00,2022-11-27,07:08:00,99,km,2.5,Ml
77 km al S de Socaire,-24.244 ,-67.631,2022-11-27,01:08:48,2022-11-27,04:08:48,240,km,4.2,Mw
20 km al NO de Talca,-35.317 ,-71.839,2022-11-27,00:51:08,2022-11-27,03:51:08,51,km,2.5,Ml
44 km al O de Mina Collahuasi,-20.861 ,-69.084,2022-11-26,22:35:38,2022-11-27,01:35:38,108,km,2.9,Ml
34 km al SO de OllagÃ¼e,-21.502 ,-68.389,2022-11-26,22:12:37,2022-11-27,01:12:37,128,km,2.8,Ml
140 km al O de Lebu,-37.976 ,-75.180,2022-11-26,21:57:19,2022-11-27,00:57:19,25,km,2.8,Ml
41 km al E de Talca,-35.509 ,-71.222,2022-11-26,21:38:54,2022-11-27,00:38:54,94,km,2.9,Ml
61 km al E de La Higuera,-29.407 ,-70.584,2022-11-26,21:00:53,2022-11-27,00:00:53,77,km,3.6,Ml
