evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
19 km al NO de Punitaqui,-30.725 ,-71.410,2022-11-15,17:22:34,2022-11-15,20:22:34,48,km,3.8,Ml
54 km al S de Huasco,-28.951 ,-71.264,2022-11-15,15:56:26,2022-11-15,18:56:26,56,km,2.5,Ml
8 km al O de Ovalle,-30.624 ,-71.279,2022-11-15,14:26:20,2022-11-15,17:26:20,49,km,4.7,Ml
46 km al S de Mina Collahuasi,-21.218 ,-68.787,2022-11-15,11:34:42,2022-11-15,14:34:42,106,km,2.5,Ml
60 km al NE de Calama,-21.984 ,-68.674,2022-11-15,11:08:27,2022-11-15,14:08:27,101,km,2.5,Ml
62 km al N de Mina La Escondida.,-23.711 ,-69.043,2022-11-15,04:20:01,2022-11-15,07:20:01,95,km,2.6,Ml
57 km al SE de Alto del Carmen,-29.069 ,-70.024,2022-11-15,04:12:35,2022-11-15,07:12:35,107,km,2.8,Ml
9 km al SO de La Serena,-29.943 ,-71.337,2022-11-15,03:54:57,2022-11-15,06:54:57,52,km,3.7,Ml
21 km al E de Tongoy,-30.302 ,-71.286,2022-11-15,03:43:26,2022-11-15,06:43:26,43,km,2.9,Ml
45 km al SO de Mina Collahuasi,-21.123 ,-68.959,2022-11-15,03:37:23,2022-11-15,06:37:23,114,km,2.9,Ml
36 km al SO de ValparaÃ­so,-33.213 ,-71.952,2022-11-15,01:24:16,2022-11-15,04:24:16,33,km,2.7,Ml
33 km al SO de ValparaÃ­so,-33.215 ,-71.903,2022-11-14,23:43:23,2022-11-15,02:43:23,35,km,4.5,Mw
51 km al S de Mina Collahuasi,-21.255 ,-68.826,2022-11-14,23:19:58,2022-11-15,02:19:58,113,km,3.0,Ml
10 km al O de Lebu,-37.629 ,-73.769,2022-11-14,21:36:02,2022-11-15,00:36:02,10,km,2.8,Ml
