evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
13 km al O de La Serena,-29.891 ,-71.384,2022-11-21,20:00:02,2022-11-21,23:00:02,48,km,2.6,Ml
83 km al O de Tongoy,-29.945 ,-72.276,2022-11-21,19:57:34,2022-11-21,22:57:34,40,km,3.0,Ml
89 km al S de Mina La Escondida.,-25.068 ,-69.137,2022-11-21,19:32:32,2022-11-21,22:32:32,124,km,2.8,Ml
56 km al SE de Socaire,-24.016 ,-67.602,2022-11-21,18:41:16,2022-11-21,21:41:16,237,km,4.1,Ml
69 km al NO de Quillagua,-21.208 ,-69.987,2022-11-21,16:40:19,2022-11-21,19:40:19,28,km,2.5,Ml
16 km al NO de Punitaqui,-30.708 ,-71.349,2022-11-21,16:07:43,2022-11-21,19:07:43,37,km,3.6,Ml
143 km al O de Los Vilos,-32.290 ,-72.963,2022-11-21,15:48:14,2022-11-21,18:48:14,20,km,2.7,Ml
50 km al NE de Socaire,-23.229 ,-67.604,2022-11-21,15:35:29,2022-11-21,18:35:29,295,km,2.5,Ml
14 km al NE de Sierra Gorda.,-22.813 ,-69.213,2022-11-21,15:06:53,2022-11-21,18:06:53,88,km,2.5,Ml
33 km al SO de Los Vilos,-32.126 ,-71.757,2022-11-21,11:54:38,2022-11-21,14:54:38,40,km,2.9,Ml
94 km al SE de Alto del Carmen,-29.245 ,-69.691,2022-11-21,10:11:10,2022-11-21,13:11:10,127,km,2.7,Ml
52 km al SE de Sierra Gorda.,-23.247 ,-68.974,2022-11-21,08:41:24,2022-11-21,11:41:24,97,km,2.6,Ml
64 km al SE de Socaire,-24.095 ,-67.590,2022-11-21,07:14:57,2022-11-21,10:14:57,234,km,3.1,Ml
13 km al SE de Taltal,-25.500 ,-70.405,2022-11-21,04:22:44,2022-11-21,07:22:44,44,km,2.9,Ml
46 km al SO de Mina Collahuasi,-21.090 ,-68.997,2022-11-21,03:37:22,2022-11-21,06:37:22,112,km,3.1,Ml
29 km al O de OllagÃ¼e,-21.160 ,-68.520,2022-11-21,01:15:34,2022-11-21,04:15:34,145,km,2.9,Ml
