evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
80 km al S de Socaire,-24.286 ,-68.072,2022-11-17,20:11:42,2022-11-17,23:11:42,248,km,3.4,Ml
72 km al NE de Calama,-21.888 ,-68.621,2022-11-17,17:15:39,2022-11-17,20:15:39,88,km,3.9,Ml
18 km al SO de Illapel,-31.777 ,-71.244,2022-11-17,15:09:22,2022-11-17,18:09:22,55,km,3.0,Ml
39 km al SO de Putre,-18.386 ,-69.872,2022-11-17,14:51:02,2022-11-17,17:51:02,86,km,4.1,Ml
67 km al S de Socaire,-24.156 ,-67.670,2022-11-17,12:59:42,2022-11-17,15:59:42,244,km,3.0,Ml
31 km al N de Baquedano,-23.071 ,-69.938,2022-11-17,10:06:29,2022-11-17,13:06:29,50,km,2.7,Ml
23 km al SO de Sierra Gorda.,-23.019 ,-69.495,2022-11-17,08:23:47,2022-11-17,11:23:47,76,km,2.9,Ml
8 km al N de San Pedro de Atacama,-22.853 ,-68.210,2022-11-17,06:55:37,2022-11-17,09:55:37,116,km,3.6,Ml
57 km al SO de Castro,-42.796 ,-74.320,2022-11-17,05:37:01,2022-11-17,08:37:01,20,km,3.1,Ml
6 km al O de Lebu,-37.588 ,-73.722,2022-11-17,04:45:06,2022-11-17,07:45:06,10,km,2.8,Ml
46 km al N de ChaÃ±aral.,-25.961 ,-70.778,2022-11-17,03:21:44,2022-11-17,06:21:44,41,km,3.0,Ml
54 km al O de OllagÃ¼e,-21.411 ,-68.731,2022-11-17,03:01:16,2022-11-17,06:01:16,124,km,2.7,Ml
52 km al NO de Quillagua,-21.310 ,-69.864,2022-11-16,22:42:52,2022-11-17,01:42:52,54,km,3.7,Ml
