evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
31 km al N de Osorno,-40.306 ,-73.032,2022-11-02,19:44:25,2022-11-02,22:44:25,44,km,3.5,Ml
20 km al E de Cuya,-19.194 ,-69.994,2022-11-02,19:19:24,2022-11-02,22:19:24,64,km,3.7,Ml
6 km al NE de ValparaÃ­so,-33.006 ,-71.573,2022-11-02,14:03:40,2022-11-02,17:03:40,36,km,2.9,Ml
49 km al SO de OllagÃ¼e,-21.413 ,-68.681,2022-11-02,13:06:07,2022-11-02,16:06:07,99,km,2.6,Ml
30 km al E de La Higuera,-29.409 ,-70.918,2022-11-02,12:23:10,2022-11-02,15:23:10,66,km,2.6,Ml
26 km al E de Calama,-22.411 ,-68.689,2022-11-02,04:39:30,2022-11-02,07:39:30,123,km,2.7,Ml
40 km al NO de Tongoy,-29.960 ,-71.732,2022-11-02,03:47:31,2022-11-02,06:47:31,47,km,3.1,Ml
34 km al N de Mina Los Pelambres,-31.522 ,-70.588,2022-11-02,03:18:02,2022-11-02,06:18:02,109,km,3.3,Ml
46 km al E de Sierra Gorda.,-22.930 ,-68.871,2022-11-02,02:28:14,2022-11-02,05:28:14,105,km,3.1,Ml
45 km al S de CamiÃ±a,-19.720 ,-69.408,2022-11-02,00:31:32,2022-11-02,03:31:32,100,km,3.1,Ml
15 km al N de Calama,-22.335 ,-68.895,2022-11-01,23:38:00,2022-11-02,02:38:00,119,km,5.3,Mww
47 km al O de Punitaqui,-30.646 ,-71.705,2022-11-01,22:57:57,2022-11-02,01:57:57,44,km,3.8,Ml
65 km al SE de Socaire,-24.026 ,-67.471,2022-11-01,21:13:24,2022-11-02,00:13:24,231,km,4.0,Ml
