evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
72 km al NE de Calama,-21.870 ,-68.677,2022-11-16,20:35:42,2022-11-16,23:35:42,117,km,2.8,Ml
11 km al N de Lebu,-37.515 ,-73.672,2022-11-16,20:16:27,2022-11-16,23:16:27,17,km,2.9,Ml
28 km al S de Calama,-22.702 ,-68.836,2022-11-16,19:39:15,2022-11-16,22:39:15,85,km,2.9,Ml
49 km al N de CamiÃ±a,-18.892 ,-69.565,2022-11-16,18:21:35,2022-11-16,21:21:35,94,km,3.0,Ml
79 km al O de La Serena,-29.692 ,-72.034,2022-11-16,14:57:33,2022-11-16,17:57:33,32,km,3.5,Ml
29 km al E de Calama,-22.406 ,-68.655,2022-11-16,14:43:54,2022-11-16,17:43:54,108,km,2.7,Ml
82 km al SE de Socaire,-24.263 ,-67.561,2022-11-16,14:01:11,2022-11-16,17:01:11,215,km,3.3,Ml
52 km al SE de Baquedano,-23.622 ,-69.442,2022-11-16,13:29:35,2022-11-16,16:29:35,85,km,4.4,Ml
62 km al SO de Huasco,-28.991 ,-71.441,2022-11-16,13:07:57,2022-11-16,16:07:57,38,km,2.7,Ml
84 km al S de Alto Hospicio,-20.973 ,-70.383,2022-11-16,13:01:51,2022-11-16,16:01:51,63,km,2.9,Ml
32 km al NE de Calama,-22.251 ,-68.721,2022-11-16,11:32:02,2022-11-16,14:32:02,114,km,2.8,Ml
42 km al SE de Pica,-20.843 ,-69.180,2022-11-16,09:26:06,2022-11-16,12:26:06,103,km,2.9,Ml
60 km al O de La Ligua,-32.512 ,-71.868,2022-11-16,08:48:46,2022-11-16,11:48:46,20,km,2.7,Ml
29 km al SO de OllagÃ¼e,-21.417 ,-68.439,2022-11-16,07:01:17,2022-11-16,10:01:17,127,km,3.1,Ml
44 km al NE de Linares,-35.618 ,-71.194,2022-11-16,06:59:09,2022-11-16,09:59:09,101,km,3.0,Ml
42 km al E de Calama,-22.516 ,-68.521,2022-11-16,06:33:37,2022-11-16,09:33:37,114,km,3.2,Ml
72 km al SE de Socaire,-24.019 ,-67.364,2022-11-16,02:57:12,2022-11-16,05:57:12,236,km,3.4,Ml
15 km al NO de Lebu,-37.505 ,-73.766,2022-11-16,02:53:46,2022-11-16,05:53:46,38,km,3.2,Ml
28 km al S de Santiago,-33.692 ,-70.654,2022-11-16,02:35:19,2022-11-16,05:35:19,34,km,2.5,Ml
28 km al O de El Tabo,-33.521 ,-71.960,2022-11-16,02:25:50,2022-11-16,05:25:50,33,km,2.5,Ml
56 km al SO de Mina Collahuasi,-21.100 ,-69.108,2022-11-16,00:03:40,2022-11-16,03:03:40,114,km,2.9,Ml
61 km al N de Calama,-21.926 ,-68.855,2022-11-15,23:36:45,2022-11-16,02:36:45,100,km,2.7,Ml
34 km al SO de Huasco,-28.634 ,-71.514,2022-11-15,22:26:15,2022-11-16,01:26:15,42,km,2.6,Ml
