evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
52 km al E de Sierra Gorda.,-22.959 ,-68.813,2022-11-20,20:00:47,2022-11-20,23:00:47,102,km,3.2,Ml
45 km al NE de Pica,-20.120 ,-69.156,2022-11-20,19:16:47,2022-11-20,22:16:47,97,km,2.8,Ml
23 km al S de Calama,-22.668 ,-68.868,2022-11-20,16:37:09,2022-11-20,19:37:09,132,km,2.7,Ml
31 km al S de MarÃ­a Elena,-22.620 ,-69.653,2022-11-20,14:02:41,2022-11-20,17:02:41,51,km,2.8,Ml
31 km al SO de Putre,-18.364 ,-69.799,2022-11-20,13:10:34,2022-11-20,16:10:34,84,km,3.1,Ml
25 km al O de Canela Baja,-31.314 ,-71.697,2022-11-20,13:09:38,2022-11-20,16:09:38,31,km,2.8,Ml
21 km al O de Andacollo,-30.150 ,-71.282,2022-11-20,12:37:02,2022-11-20,15:37:02,63,km,2.9,Ml
37 km al SO de Huasco,-28.730 ,-71.454,2022-11-20,12:20:14,2022-11-20,15:20:14,55,km,2.8,Ml
49 km al NE de Calama,-22.158 ,-68.592,2022-11-20,11:54:52,2022-11-20,14:54:52,117,km,3.0,Ml
52 km al NE de Alto del Carmen,-28.453 ,-70.084,2022-11-20,11:41:57,2022-11-20,14:41:57,111,km,2.8,Ml
27 km al E de Navidad,-34.053 ,-71.561,2022-11-20,11:07:51,2022-11-20,14:07:51,51,km,3.0,Ml
16 km al NO de Punitaqui,-30.744 ,-71.392,2022-11-20,11:05:59,2022-11-20,14:05:59,59,km,2.9,Ml
59 km al O de La Ligua,-32.480 ,-71.857,2022-11-20,11:01:33,2022-11-20,14:01:33,20,km,3.4,Ml
9 km al NE de Lebu,-37.562 ,-73.575,2022-11-20,08:56:01,2022-11-20,11:56:01,15,km,3.2,Ml
8 km al NO de Punitaqui,-30.785 ,-71.328,2022-11-20,08:19:28,2022-11-20,11:19:28,63,km,3.3,Ml
38 km al O de OllagÃ¼e,-21.254 ,-68.622,2022-11-20,07:46:04,2022-11-20,10:46:04,118,km,4.1,Ml
25 km al O de OllagÃ¼e,-21.230 ,-68.498,2022-11-20,03:49:54,2022-11-20,06:49:54,116,km,2.7,Ml
45 km al NO de San Pedro de Atacama,-22.623 ,-68.497,2022-11-20,03:43:28,2022-11-20,06:43:28,135,km,2.7,Ml
41 km al SO de Tongoy,-30.606 ,-71.640,2022-11-20,01:16:09,2022-11-20,04:16:09,29,km,2.7,Ml
74 km al NE de Taltal,-24.813 ,-70.164,2022-11-20,00:07:13,2022-11-20,03:07:13,54,km,2.7,Ml
45 km al O de Punitaqui,-30.723 ,-71.716,2022-11-20,00:01:43,2022-11-20,03:01:43,33,km,2.7,Ml
37 km al N de Pica,-20.177 ,-69.207,2022-11-19,23:18:50,2022-11-20,02:18:50,92,km,2.6,Ml
31 km al SO de Los Vilos,-32.110 ,-71.742,2022-11-19,21:58:54,2022-11-20,00:58:54,30,km,2.8,Ml
