evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
31 km al S de Lebu,-37.884 ,-73.683,2022-12-13,20:43:33,2022-12-13,23:43:33,36,km,3.0,Ml
148 km al O de El Tabo,-33.163 ,-73.227,2022-12-13,20:12:18,2022-12-13,23:12:18,7,km,2.9,Ml
30 km al S de Lebu,-37.870 ,-73.730,2022-12-13,19:41:55,2022-12-13,22:41:55,34,km,3.4,Ml
94 km al SE de Antofagasta,-24.394 ,-69.990,2022-12-13,18:15:33,2022-12-13,21:15:33,63,km,3.2,Ml
18 km al SE de San Pedro de Atacama,-23.067 ,-68.129,2022-12-13,16:59:24,2022-12-13,19:59:24,138,km,3.3,Ml
45 km al S de OllagÃ¼e,-21.617 ,-68.377,2022-12-13,15:08:06,2022-12-13,18:08:06,130,km,2.7,Ml
46 km al S de Mina Collahuasi,-21.224 ,-68.788,2022-12-13,14:36:52,2022-12-13,17:36:52,115,km,2.8,Ml
48 km al S de Mina Collahuasi,-21.255 ,-68.718,2022-12-13,14:31:23,2022-12-13,17:31:23,119,km,2.9,Ml
13 km al SO de Ovalle,-30.708 ,-71.257,2022-12-13,12:35:38,2022-12-13,15:35:38,48,km,2.7,Ml
44 km al O de Tongoy,-30.205 ,-71.951,2022-12-13,12:25:40,2022-12-13,15:25:40,39,km,2.6,Ml
43 km al SO de OllagÃ¼e,-21.565 ,-68.448,2022-12-13,11:19:39,2022-12-13,14:19:39,140,km,3.2,Ml
51 km al NO de La Higuera,-29.264 ,-71.644,2022-12-13,09:29:16,2022-12-13,12:29:16,25,km,2.5,Ml
20 km al E de Pica,-20.466 ,-69.138,2022-12-13,09:28:04,2022-12-13,12:28:04,108,km,3.2,Ml
73 km al SE de Socaire,-23.930 ,-67.273,2022-12-13,09:15:29,2022-12-13,12:15:29,243,km,3.4,Ml
56 km al E de Socaire,-23.518 ,-67.344,2022-12-13,08:51:14,2022-12-13,11:51:14,257,km,4.5,Mw
87 km al E de Mina La Escondida.,-24.334 ,-68.200,2022-12-13,08:31:02,2022-12-13,11:31:02,156,km,2.9,Ml
22 km al E de Cuya,-19.090 ,-69.982,2022-12-13,05:04:52,2022-12-13,08:04:52,38,km,2.5,Ml
73 km al S de Socaire,-24.242 ,-67.890,2022-12-13,04:16:16,2022-12-13,07:16:16,226,km,3.1,Ml
34 km al NE de Calama,-22.212 ,-68.748,2022-12-13,04:08:08,2022-12-13,07:08:08,111,km,2.8,Ml
47 km al NO de Tocopilla,-21.888 ,-70.600,2022-12-13,02:34:52,2022-12-13,05:34:52,34,km,2.7,Ml
13 km al NE de Cuya,-19.114 ,-70.070,2022-12-13,02:30:07,2022-12-13,05:30:07,79,km,2.8,Ml
7 km al N de Ovalle,-30.544 ,-71.188,2022-12-13,01:58:09,2022-12-13,04:58:09,18,km,2.7,Ml
47 km al SE de Paihuano,-30.415 ,-70.314,2022-12-13,01:57:56,2022-12-13,04:57:56,119,km,2.9,Ml
48 km al NE de Pozo Almonte,-20.015 ,-69.405,2022-12-12,23:37:50,2022-12-13,02:37:50,81,km,3.1,Ml
