evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
61 km al O de El Tabo,-33.475 ,-72.321,2022-12-26,19:35:03,2022-12-26,22:35:03,38,km,3.3,Ml
39 km al O de OllagÃ¼e,-21.343 ,-68.610,2022-12-26,18:36:33,2022-12-26,21:36:33,112,km,3.1,Ml
34 km al SE de Los Andes.,-32.995 ,-70.290,2022-12-26,17:43:54,2022-12-26,20:43:54,113,km,3.3,Ml
98 km al SO de Mina La Escondida.,-25.044 ,-69.521,2022-12-26,16:43:39,2022-12-26,19:43:39,84,km,2.8,Ml
13 km al NE de Santiago,-33.327 ,-70.599,2022-12-26,13:48:14,2022-12-26,16:48:14,96,km,3.1,Ml
58 km al O de El Tabo,-33.505 ,-72.296,2022-12-26,12:39:06,2022-12-26,15:39:06,44,km,3.5,Ml
48 km al O de OllagÃ¼e,-21.285 ,-68.712,2022-12-26,11:37:36,2022-12-26,14:37:36,116,km,3.3,Ml
25 km al O de Visviri,-17.681 ,-69.699,2022-12-26,11:30:09,2022-12-26,14:30:09,157,km,4.2,Ml
42 km al SE de Mina Los Pelambres,-32.000 ,-70.187,2022-12-26,09:32:41,2022-12-26,12:32:41,140,km,3.4,Ml
15 km al N de Quillota,-32.747 ,-71.226,2022-12-26,08:54:14,2022-12-26,11:54:14,46,km,3.0,Ml
52 km al NE de Pica,-20.297 ,-68.873,2022-12-26,08:02:41,2022-12-26,11:02:41,97,km,2.5,Ml
13 km al SO de Calama,-22.576 ,-68.980,2022-12-26,07:40:59,2022-12-26,10:40:59,92,km,2.5,Ml
58 km al NE de Calama,-22.001 ,-68.676,2022-12-26,07:13:25,2022-12-26,10:13:25,119,km,3.3,Ml
44 km al O de OllagÃ¼e,-21.245 ,-68.674,2022-12-26,06:14:41,2022-12-26,09:14:41,109,km,2.6,Ml
40 km al O de Mina Collahuasi,-20.919 ,-69.031,2022-12-26,05:35:30,2022-12-26,08:35:30,108,km,2.5,Ml
13 km al NO de Puerto Montt,-41.363 ,-72.990,2022-12-26,04:00:15,2022-12-26,07:00:15,84,km,3.6,Ml
18 km al NO de Punitaqui,-30.737 ,-71.411,2022-12-26,03:37:14,2022-12-26,06:37:14,50,km,2.6,Ml
18 km al NE de CamiÃ±a,-19.207 ,-69.292,2022-12-25,23:59:52,2022-12-26,02:59:52,106,km,3.5,Ml
30 km al NE de Putre,-18.000 ,-69.358,2022-12-25,23:08:37,2022-12-26,02:08:37,136,km,3.1,Ml
28 km al NO de TirÃºa,-38.189 ,-73.742,2022-12-25,23:06:38,2022-12-26,02:06:38,9,km,2.8,Ml
82 km al E de Socaire,-23.358 ,-67.126,2022-12-25,21:38:59,2022-12-26,00:38:59,182,km,3.5,Ml
