evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
30 km al S de Putre,-18.459 ,-69.613,2022-12-08,20:14:02,2022-12-08,23:14:02,98,km,2.9,Ml
27 km al NO de San FabiÃ¡n,-36.383 ,-71.757,2022-12-08,18:13:28,2022-12-08,21:13:28,83,km,3.2,Ml
11 km al E de CamiÃ±a,-19.281 ,-69.323,2022-12-08,17:55:40,2022-12-08,20:55:40,105,km,4.2,Ml
21 km al SO de Canela Baja,-31.555 ,-71.577,2022-12-08,17:52:04,2022-12-08,20:52:04,42,km,2.6,Ml
70 km al NE de Calama,-21.896 ,-68.648,2022-12-08,17:47:30,2022-12-08,20:47:30,107,km,2.7,Ml
73 km al NE de Calama,-21.910 ,-68.565,2022-12-08,17:02:10,2022-12-08,20:02:10,130,km,2.7,Ml
57 km al O de Iquique,-20.075 ,-70.681,2022-12-08,13:10:56,2022-12-08,16:10:56,26,km,3.4,Ml
28 km al E de Calama,-22.393 ,-68.667,2022-12-08,12:23:25,2022-12-08,15:23:25,122,km,2.7,Ml
32 km al NO de Futrono,-39.969 ,-72.695,2022-12-08,11:31:58,2022-12-08,14:31:58,66,km,2.9,Ml
69 km al NO de ChaÃ±aral.,-25.890 ,-71.090,2022-12-08,09:19:36,2022-12-08,12:19:36,37,km,3.0,Ml
19 km al SE de Talca,-35.538 ,-71.511,2022-12-08,08:21:36,2022-12-08,11:21:36,78,km,4.3,Ml
46 km al E de Mina Los Pelambres,-31.643 ,-70.146,2022-12-08,06:33:59,2022-12-08,09:33:59,147,km,3.0,Ml
84 km al E de Mina La Escondida.,-24.475 ,-68.260,2022-12-08,03:12:16,2022-12-08,06:12:16,180,km,2.8,Ml
42 km al E de Lebu,-37.767 ,-73.217,2022-12-08,02:34:05,2022-12-08,05:34:05,38,km,3.4,Ml
15 km al O de Quillota,-32.873 ,-71.406,2022-12-08,01:38:32,2022-12-08,04:38:32,76,km,2.8,Ml
