evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
56 km al SE de Socaire,-23.985 ,-67.545,2022-12-14,20:33:04,2022-12-14,23:33:04,246,km,2.9,Ml
93 km al NO de Quillagua,-21.209 ,-70.288,2022-12-14,19:40:37,2022-12-14,22:40:37,32,km,2.5,Ml
41 km al SE de Pica,-20.829 ,-69.182,2022-12-14,17:19:25,2022-12-14,20:19:25,116,km,3.0,Ml
11 km al S de La Higuera,-29.604 ,-71.231,2022-12-14,15:38:16,2022-12-14,18:38:16,39,km,2.5,Ml
55 km al NE de Calama,-22.141 ,-68.526,2022-12-14,15:36:03,2022-12-14,18:36:03,105,km,3.0,Ml
67 km al NE de Vallenar,-28.171 ,-70.249,2022-12-14,15:35:39,2022-12-14,18:35:39,100,km,3.1,Ml
62 km al NE de Calama,-21.976 ,-68.643,2022-12-14,11:51:47,2022-12-14,14:51:47,121,km,2.6,Ml
116 km al E de Socaire,-23.264 ,-66.806,2022-12-14,11:29:18,2022-12-14,14:29:18,230,km,3.3,Ml
40 km al S de Mina Collahuasi,-21.169 ,-68.770,2022-12-14,11:00:01,2022-12-14,14:00:01,117,km,2.7,Ml
42 km al O de OllagÃ¼e,-21.222 ,-68.658,2022-12-14,10:18:25,2022-12-14,13:18:25,114,km,3.8,Ml
40 km al O de Quillagua,-21.595 ,-69.917,2022-12-14,08:21:41,2022-12-14,11:21:41,55,km,3.1,Ml
19 km al SO de Los Vilos,-31.994 ,-71.691,2022-12-14,05:24:22,2022-12-14,08:24:22,36,km,2.5,Ml
62 km al NE de OllagÃ¼e,-20.714 ,-68.010,2022-12-14,05:07:14,2022-12-14,08:07:14,173,km,3.9,Ml
60 km al SE de Socaire,-23.970 ,-67.476,2022-12-14,03:12:56,2022-12-14,06:12:56,235,km,2.8,Ml
47 km al SO de OllagÃ¼e,-21.603 ,-68.447,2022-12-14,02:54:05,2022-12-14,05:54:05,118,km,3.3,Ml
34 km al E de Socaire,-23.478 ,-67.577,2022-12-14,01:53:57,2022-12-14,04:53:57,272,km,3.4,Ml
64 km al S de Sierra Gorda.,-23.457 ,-69.172,2022-12-14,01:38:10,2022-12-14,04:38:10,86,km,2.9,Ml
70 km al SE de Socaire,-24.174 ,-67.641,2022-12-14,01:00:08,2022-12-14,04:00:08,235,km,3.1,Ml
9 km al O de Los Vilos,-31.934 ,-71.604,2022-12-14,00:27:42,2022-12-14,03:27:42,67,km,2.5,Ml
48 km al N de La Higuera,-29.093 ,-71.303,2022-12-13,23:11:36,2022-12-14,02:11:36,77,km,4.1,Ml
35 km al O de Ovalle,-30.642 ,-71.568,2022-12-13,22:49:46,2022-12-14,01:49:46,27,km,3.1,Ml
62 km al S de Socaire,-24.140 ,-67.780,2022-12-13,21:59:22,2022-12-14,00:59:22,224,km,2.5,Ml
