evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
112 km al O de ValparaÃ­so,-32.647 ,-72.711,2022-12-27,20:43:53,2022-12-27,23:43:53,20,km,4.6,Mw
58 km al NE de Calama,-22.002 ,-68.682,2022-12-27,19:39:15,2022-12-27,22:39:15,137,km,3.4,Ml
39 km al SO de Mina Collahuasi,-21.123 ,-68.859,2022-12-27,19:21:04,2022-12-27,22:21:04,113,km,2.7,Ml
64 km al SO de Puerto AysÃ©n,-45.949 ,-72.955,2022-12-27,19:20:59,2022-12-27,22:20:59,7,km,2.6,Ml
68 km al N de Pica,-19.891 ,-69.217,2022-12-27,18:24:50,2022-12-27,21:24:50,94,km,2.5,Ml
78 km al E de Taltal,-25.508 ,-69.716,2022-12-27,17:34:56,2022-12-27,20:34:56,86,km,2.9,Ml
36 km al E de Paihuano,-30.095 ,-70.152,2022-12-27,14:20:58,2022-12-27,17:20:58,9,km,3.4,Ml
30 km al O de Mina Collahuasi,-20.728 ,-68.928,2022-12-27,12:43:32,2022-12-27,15:43:32,104,km,2.8,Ml
21 km al NE de Calama,-22.311 ,-68.813,2022-12-27,11:16:29,2022-12-27,14:16:29,126,km,3.5,Ml
33 km al SO de Los Vilos,-32.141 ,-71.737,2022-12-27,11:05:34,2022-12-27,14:05:34,31,km,3.3,Ml
59 km al SE de Sierra Gorda.,-23.262 ,-68.898,2022-12-27,10:51:49,2022-12-27,13:51:49,102,km,2.7,Ml
45 km al SO de Huasco,-28.719 ,-71.579,2022-12-27,10:38:50,2022-12-27,13:38:50,57,km,2.8,Ml
96 km al E de Socaire,-23.782 ,-66.976,2022-12-27,08:04:23,2022-12-27,11:04:23,196,km,3.1,Ml
23 km al SE de Sierra Gorda.,-23.042 ,-69.150,2022-12-27,05:38:00,2022-12-27,08:38:00,105,km,2.6,Ml
23 km al E de Pica,-20.414 ,-69.121,2022-12-27,04:14:21,2022-12-27,07:14:21,96,km,2.7,Ml
68 km al SE de Socaire,-23.942 ,-67.339,2022-12-27,03:46:25,2022-12-27,06:46:25,245,km,3.9,Ml
32 km al SE de Mina Los Pelambres,-31.965 ,-70.288,2022-12-27,02:32:54,2022-12-27,05:32:54,132,km,2.5,Ml
29 km al SE de Mina Los Pelambres,-31.941 ,-70.311,2022-12-27,02:05:33,2022-12-27,05:05:33,119,km,2.8,Ml
55 km al NE de Calama,-22.026 ,-68.699,2022-12-27,00:24:39,2022-12-27,03:24:39,116,km,2.7,Ml
117 km al NO de Tongoy,-29.611 ,-72.460,2022-12-26,22:21:41,2022-12-27,01:21:41,43,km,2.8,Ml
33 km al O de Colina,-33.169 ,-71.028,2022-12-26,21:25:19,2022-12-27,00:25:19,26,km,2.9,Ml
