evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
40 km al SO de Mina Collahuasi,-21.099 ,-68.907,2022-12-18,19:53:02,2022-12-18,22:53:02,112,km,2.6,Ml
13 km al O de Linares,-35.896 ,-71.726,2022-12-18,18:57:28,2022-12-18,21:57:28,69,km,2.7,Ml
65 km al NE de Quillagua,-21.244 ,-69.098,2022-12-18,16:01:35,2022-12-18,19:01:35,91,km,2.6,Ml
28 km al SE de La Higuera,-29.717 ,-71.040,2022-12-18,14:10:19,2022-12-18,17:10:19,68,km,2.7,Ml
27 km al O de OllagÃ¼e,-21.166 ,-68.507,2022-12-18,14:01:51,2022-12-18,17:01:51,138,km,2.9,Ml
35 km al NO de Punitaqui,-30.686 ,-71.581,2022-12-18,13:23:27,2022-12-18,16:23:27,31,km,3.4,Ml
18 km al O de Ovalle,-30.600 ,-71.395,2022-12-18,10:54:51,2022-12-18,13:54:51,49,km,3.4,Ml
100 km al NO de Tortel,-46.967 ,-74.038,2022-12-18,09:41:04,2022-12-18,12:41:04,46,km,3.1,Ml
63 km al NO de ValparaÃ­so,-32.537 ,-71.904,2022-12-18,05:59:20,2022-12-18,08:59:20,25,km,2.6,Ml
33 km al NO de ValparaÃ­so,-32.835 ,-71.854,2022-12-18,02:55:52,2022-12-18,05:55:52,19,km,3.0,Ml
35 km al N de Huasco,-28.153 ,-71.252,2022-12-18,00:12:46,2022-12-18,03:12:46,60,km,3.7,Ml
39 km al O de San Pedro de Atacama,-23.022 ,-68.560,2022-12-17,23:44:05,2022-12-18,02:44:05,118,km,2.9,Ml
22 km al E de Osorno,-40.605 ,-72.875,2022-12-17,23:26:02,2022-12-18,02:26:02,64,km,2.7,Ml
91 km al E de Socaire,-23.720 ,-67.012,2022-12-17,22:28:17,2022-12-18,01:28:17,196,km,3.3,Ml
