evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
35 km al NE de Calama,-22.314 ,-68.639,2022-12-19,17:10:50,2022-12-19,20:10:50,114,km,5.0,Mw
35 km al E de Pica,-20.404 ,-69.008,2022-12-19,15:32:42,2022-12-19,18:32:42,98,km,2.6,Ml
110 km al E de Socaire,-23.793 ,-66.832,2022-12-19,14:46:06,2022-12-19,17:46:06,200,km,3.1,Ml
83 km al O de La Serena,-29.659 ,-72.067,2022-12-19,14:30:59,2022-12-19,17:30:59,44,km,2.7,Ml
33 km al N de ValparaÃ­so,-32.761 ,-71.687,2022-12-19,10:37:18,2022-12-19,13:37:18,37,km,3.5,Ml
73 km al E de Socaire,-23.806 ,-67.216,2022-12-19,10:29:25,2022-12-19,13:29:25,238,km,3.3,Ml
25 km al SO de Mina Collahuasi,-20.937 ,-68.869,2022-12-19,10:24:41,2022-12-19,13:24:41,104,km,2.6,Ml
43 km al O de Punitaqui,-30.698 ,-71.686,2022-12-19,09:52:32,2022-12-19,12:52:32,35,km,2.7,Ml
29 km al O de Visviri,-17.506 ,-69.737,2022-12-19,08:44:18,2022-12-19,11:44:18,158,km,3.4,Ml
14 km al SO de Los Vilos,-31.973 ,-71.643,2022-12-19,04:16:44,2022-12-19,07:16:44,23,km,2.5,Ml
20 km al S de Salamanca,-31.959 ,-70.918,2022-12-19,02:39:53,2022-12-19,05:39:53,87,km,2.9,Ml
62 km al N de Calama,-21.940 ,-68.745,2022-12-19,02:30:54,2022-12-19,05:30:54,115,km,2.8,Ml
19 km al NE de Vallenar,-28.422 ,-70.676,2022-12-18,22:15:55,2022-12-19,01:15:55,69,km,2.6,Ml
52 km al O de OllagÃ¼e,-21.283 ,-68.747,2022-12-18,21:38:39,2022-12-19,00:38:39,113,km,3.0,Ml
