evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
8 km al NO de Lebu,-37.544 ,-73.696,2022-12-12,20:20:05,2022-12-12,23:20:05,23,km,3.0,Ml
38 km al E de Pica,-20.364 ,-68.988,2022-12-12,19:54:48,2022-12-12,22:54:48,128,km,3.1,Ml
134 km al SE de Socaire,-24.121 ,-66.703,2022-12-12,19:51:55,2022-12-12,22:51:55,253,km,4.3,Ml
77 km al SE de Socaire,-24.165 ,-67.474,2022-12-12,17:15:47,2022-12-12,20:15:47,244,km,3.2,Ml
117 km al E de Socaire,-23.951 ,-66.810,2022-12-12,15:40:04,2022-12-12,18:40:04,223,km,3.6,Ml
78 km al O de Arica,-18.515 ,-71.065,2022-12-12,14:52:23,2022-12-12,17:52:23,33,km,3.2,Ml
11 km al S de La Higuera,-29.611 ,-71.186,2022-12-12,13:12:13,2022-12-12,16:12:13,72,km,3.3,Ml
72 km al O de La Higuera,-29.373 ,-71.932,2022-12-12,12:32:21,2022-12-12,15:32:21,43,km,2.7,Ml
40 km al O de Mina Collahuasi,-20.958 ,-69.017,2022-12-12,10:35:09,2022-12-12,13:35:09,112,km,2.6,Ml
84 km al SO de Pisagua,-19.929 ,-70.932,2022-12-12,07:35:52,2022-12-12,10:35:52,34,km,2.8,Ml
52 km al SO de OllagÃ¼e,-21.416 ,-68.711,2022-12-12,05:49:16,2022-12-12,08:49:16,102,km,3.6,Ml
54 km al SO de Mina Collahuasi,-21.182 ,-69.008,2022-12-12,05:35:54,2022-12-12,08:35:54,111,km,3.8,Ml
28 km al SE de San Fernando,-34.775 ,-70.788,2022-12-12,01:32:10,2022-12-12,04:32:10,115,km,3.5,Ml
35 km al S de Mina Collahuasi,-21.137 ,-68.626,2022-12-11,21:55:36,2022-12-12,00:55:36,126,km,3.4,Ml
