evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
63 km al S de Socaire,-24.158 ,-67.922,2023-03-05,20:22:51,2023-03-05,23:22:51,229,km,3.4,Ml
69 km al SO de OllagÃ¼e,-21.731 ,-68.637,2023-03-05,20:17:53,2023-03-05,23:17:53,133,km,2.5,Ml
23 km al N de Huasco,-28.259 ,-71.212,2023-03-05,19:07:18,2023-03-05,22:07:18,33,km,4.6,Ml
14 km al O de Socaire,-23.541 ,-68.015,2023-03-05,18:59:41,2023-03-05,21:59:41,146,km,2.8,Ml
39 km al E de Entre Lagos,-40.571 ,-72.164,2023-03-05,18:39:52,2023-03-05,21:39:52,7,km,2.6,Ml
62 km al NE de San Pedro de Atacama,-22.422 ,-67.932,2023-03-05,17:27:21,2023-03-05,20:27:21,205,km,2.7,Ml
34 km al SO de El Tabo,-33.598 ,-71.999,2023-03-05,16:15:25,2023-03-05,19:15:25,32,km,2.7,Ml
28 km al SO de Salamanca,-32.000 ,-71.111,2023-03-05,15:54:05,2023-03-05,18:54:05,68,km,2.5,Ml
28 km al O de OllagÃ¼e,-21.186 ,-68.518,2023-03-05,15:54:04,2023-03-05,18:54:04,128,km,2.7,Ml
52 km al SO de MarÃ­a Elena,-22.749 ,-69.911,2023-03-05,13:08:06,2023-03-05,16:08:06,38,km,2.5,Ml
33 km al SO de El Tabo,-33.603 ,-71.982,2023-03-05,11:38:20,2023-03-05,14:38:20,35,km,3.1,Ml
18 km al NO de Punitaqui,-30.736 ,-71.417,2023-03-05,11:30:38,2023-03-05,14:30:38,36,km,4.0,Ml
68 km al NE de Socaire,-23.156 ,-67.424,2023-03-05,11:22:23,2023-03-05,14:22:23,283,km,3.3,Ml
127 km al NE de Alto del Carmen,-28.268 ,-69.318,2023-03-05,11:15:25,2023-03-05,14:15:25,141,km,3.8,Ml
81 km al S de Socaire,-24.312 ,-67.777,2023-03-05,08:41:59,2023-03-05,11:41:59,233,km,2.7,Ml
59 km al SE de Socaire,-23.875 ,-67.405,2023-03-05,06:23:29,2023-03-05,09:23:29,248,km,3.2,Ml
73 km al SO de Socaire,-24.083 ,-68.357,2023-03-05,03:36:35,2023-03-05,06:36:35,127,km,2.8,Ml
31 km al S de Mina Collahuasi,-21.102 ,-68.710,2023-03-05,02:42:02,2023-03-05,05:42:02,116,km,2.8,Ml
66 km al SE de Socaire,-24.131 ,-67.619,2023-03-05,01:07:27,2023-03-05,04:07:27,247,km,2.6,Ml
25 km al NO de La Higuera,-29.317 ,-71.325,2023-03-04,23:52:24,2023-03-05,02:52:24,46,km,3.4,Ml
52 km al SE de Socaire,-23.950 ,-67.558,2023-03-04,23:48:13,2023-03-05,02:48:13,230,km,2.5,Ml
9 km al N de Tocopilla,-22.013 ,-70.212,2023-03-04,22:06:11,2023-03-05,01:06:11,61,km,4.0,Ml
46 km al O de El Tabo,-33.407 ,-72.165,2023-03-04,21:59:39,2023-03-05,00:59:39,20,km,3.0,Ml
