evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
61 km al SE de Socaire,-23.968 ,-67.461,2023-03-02,20:16:43,2023-03-02,23:16:43,261,km,3.2,Ml
70 km al NE de Calama,-21.910 ,-68.611,2023-03-02,19:32:59,2023-03-02,22:32:59,119,km,2.9,Ml
145 km al O de Pichilemu,-34.069 ,-73.541,2023-03-02,19:28:37,2023-03-02,22:28:37,10,km,2.7,Ml
35 km al E de Mina La Escondida.,-24.258 ,-68.714,2023-03-02,16:03:38,2023-03-02,19:03:38,106,km,3.0,Ml
49 km al NE de Calama,-22.063 ,-68.737,2023-03-02,15:53:00,2023-03-02,18:53:00,118,km,3.4,Ml
118 km al NO de Cobquecura,-35.591 ,-73.921,2023-03-02,15:48:38,2023-03-02,18:48:38,15,km,3.0,Ml
91 km al O de Pisagua,-19.892 ,-71.022,2023-03-02,12:00:34,2023-03-02,15:00:34,40,km,3.8,Ml
101 km al O de Pisagua,-19.829 ,-71.144,2023-03-02,11:14:35,2023-03-02,14:14:35,31,km,2.7,Ml
40 km al O de San Pedro de Atacama,-22.946 ,-68.586,2023-03-02,10:50:00,2023-03-02,13:50:00,129,km,2.5,Ml
43 km al O de Fresia,-41.013 ,-73.899,2023-03-02,10:47:35,2023-03-02,13:47:35,12,km,3.7,Ml
29 km al S de Calama,-22.723 ,-68.878,2023-03-02,04:19:28,2023-03-02,07:19:28,94,km,2.7,Ml
21 km al S de Mina Collahuasi,-21.011 ,-68.624,2023-03-02,02:16:59,2023-03-02,05:16:59,138,km,3.1,Ml
47 km al NE de Calama,-22.213 ,-68.566,2023-03-01,23:51:30,2023-03-02,02:51:30,113,km,2.5,Ml
91 km al S de Socaire,-24.376 ,-67.640,2023-03-01,22:51:46,2023-03-02,01:51:46,227,km,4.4,Ml
