evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
34 km al O de Mina Collahuasi,-20.881 ,-68.981,2023-03-03,19:48:28,2023-03-03,22:48:28,107,km,2.5,Ml
119 km al SE de Socaire,-24.222 ,-66.948,2023-03-03,19:01:07,2023-03-03,22:01:07,222,km,3.3,Ml
28 km al NO de Tocopilla,-21.977 ,-70.441,2023-03-03,18:46:50,2023-03-03,21:46:50,23,km,2.9,Ml
92 km al O de Canela Baja,-31.186 ,-72.389,2023-03-03,17:33:50,2023-03-03,20:33:50,23,km,3.0,Ml
43 km al NE de Pica,-20.271 ,-68.995,2023-03-03,17:11:07,2023-03-03,20:11:07,115,km,2.7,Ml
61 km al E de Baquedano,-23.494 ,-69.274,2023-03-03,15:58:36,2023-03-03,18:58:36,92,km,4.0,Ml
45 km al NE de Pica,-20.322 ,-68.934,2023-03-03,14:09:36,2023-03-03,17:09:36,119,km,2.7,Ml
5 km al S de OllagÃ¼e,-21.271 ,-68.259,2023-03-03,13:36:03,2023-03-03,16:36:03,141,km,2.8,Ml
73 km al NE de Calama,-21.910 ,-68.564,2023-03-03,12:55:33,2023-03-03,15:55:33,123,km,2.5,Ml
25 km al S de Tongoy,-30.466 ,-71.573,2023-03-03,12:47:58,2023-03-03,15:47:58,32,km,2.7,Ml
20 km al SO de Los Vilos,-32.047 ,-71.645,2023-03-03,12:37:27,2023-03-03,15:37:27,31,km,2.6,Ml
70 km al SE de Socaire,-23.930 ,-67.314,2023-03-03,07:35:14,2023-03-03,10:35:14,245,km,3.2,Ml
62 km al O de OllagÃ¼e,-21.394 ,-68.823,2023-03-03,06:48:03,2023-03-03,09:48:03,117,km,3.7,Ml
81 km al NE de Mina La Escondida.,-23.592 ,-68.768,2023-03-03,06:16:06,2023-03-03,09:16:06,109,km,2.8,Ml
44 km al SO de Mina La Escondida.,-24.580 ,-69.331,2023-03-03,05:43:11,2023-03-03,08:43:11,93,km,3.4,Ml
38 km al O de El Tabo,-33.596 ,-72.041,2023-03-03,04:19:55,2023-03-03,07:19:55,43,km,4.2,Ml
48 km al O de La Ligua,-32.591 ,-71.716,2023-03-03,03:47:26,2023-03-03,06:47:26,31,km,2.6,Ml
53 km al NE de Calama,-22.066 ,-68.658,2023-03-03,01:20:09,2023-03-03,04:20:09,125,km,3.5,Ml
64 km al S de Socaire,-24.160 ,-67.800,2023-03-03,00:46:03,2023-03-03,03:46:03,235,km,2.9,Ml
42 km al NE de Pica,-20.184 ,-69.100,2023-03-02,21:32:17,2023-03-03,00:32:17,103,km,3.8,Ml
42 km al NO de Panguipulli,-39.462 ,-72.758,2023-03-02,21:00:14,2023-03-03,00:00:14,66,km,2.6,Ml
