evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al SO de Termas del Flaco,-35.148 ,-70.781,2022-09-24,20:47:11,2022-09-24,23:47:11,107,km,2.5,Ml
66 km al SE de Socaire,-24.076 ,-67.525,2022-09-24,20:21:07,2022-09-24,23:21:07,246,km,2.5,Ml
42 km al O de Punitaqui,-30.674 ,-71.653,2022-09-24,19:29:17,2022-09-24,22:29:17,32,km,3.2,Ml
6 km al S de Ovalle,-30.658 ,-71.211,2022-09-24,15:54:37,2022-09-24,18:54:37,54,km,2.9,Ml
73 km al SO de OllagÃ¼e,-21.739 ,-68.697,2022-09-24,14:56:19,2022-09-24,17:56:19,124,km,2.5,Ml
41 km al S de CamiÃ±a,-19.665 ,-69.309,2022-09-24,13:06:19,2022-09-24,16:06:19,96,km,3.0,Ml
15 km al NO de CamiÃ±a,-19.245 ,-69.546,2022-09-24,11:42:35,2022-09-24,14:42:35,96,km,2.5,Ml
53 km al S de Huasco,-28.934 ,-71.337,2022-09-24,08:20:20,2022-09-24,11:20:20,42,km,2.8,Ml
55 km al SO de Mina La Escondida.,-24.632 ,-69.432,2022-09-24,07:21:20,2022-09-24,10:21:20,78,km,4.0,Ml
138 km al O de ConstituciÃ³n,-35.283 ,-73.929,2022-09-24,06:08:03,2022-09-24,09:08:03,24,km,2.9,Ml
154 km al O de QuellÃ³n,-43.014 ,-75.514,2022-09-24,05:09:09,2022-09-24,08:09:09,35,km,3.4,Ml
76 km al O de Navidad,-33.700 ,-72.591,2022-09-24,05:02:29,2022-09-24,08:02:29,35,km,4.3,Ml
41 km al O de Mina Collahuasi,-20.844 ,-69.053,2022-09-24,04:08:46,2022-09-24,07:08:46,108,km,2.6,Ml
23 km al S de Putre,-18.399 ,-69.607,2022-09-24,03:30:17,2022-09-24,06:30:17,114,km,2.6,Ml
30 km al SO de OllagÃ¼e,-21.449 ,-68.414,2022-09-24,03:27:34,2022-09-24,06:27:34,112,km,2.6,Ml
23 km al N de Huasco,-28.260 ,-71.261,2022-09-24,03:27:33,2022-09-24,06:27:33,36,km,2.6,Ml
61 km al SE de Socaire,-23.839 ,-67.356,2022-09-24,02:57:46,2022-09-24,05:57:46,265,km,3.9,Ml
1 km al O de Petorca,-32.250 ,-70.942,2022-09-24,01:17:14,2022-09-24,04:17:14,78,km,3.3,Ml
33 km al SO de Los Vilos,-32.098 ,-71.781,2022-09-23,22:45:18,2022-09-24,01:45:18,31,km,2.6,Ml
