evento,lat,lng,fecha_local,hora_local,fecha_utc,hora_utc,profundidad,profundidad_unidad,magnitud,magnitud_unidad
38 km al S de Calama,-22.803 ,-68.835,2022-09-27,18:11:20,2022-09-27,21:11:20,93,km,3.3,Ml
24 km al SO de San Pedro de Atacama,-23.113 ,-68.300,2022-09-27,14:48:09,2022-09-27,17:48:09,138,km,3.6,Ml
21 km al NE de Pisagua,-19.478 ,-70.054,2022-09-27,14:25:37,2022-09-27,17:25:37,66,km,4.6,Mw
49 km al S de Paihuano,-30.454 ,-70.373,2022-09-27,13:34:41,2022-09-27,16:34:41,120,km,2.9,Ml
20 km al NO de Punitaqui,-30.726 ,-71.424,2022-09-27,13:10:52,2022-09-27,16:10:52,16,km,3.0,Ml
73 km al O de Mina La Escondida.,-24.448 ,-69.749,2022-09-27,13:00:27,2022-09-27,16:00:27,80,km,3.1,Ml
45 km al NE de Vallenar,-28.344 ,-70.375,2022-09-27,10:41:49,2022-09-27,13:41:49,105,km,3.0,Ml
35 km al SE de Pica,-20.732 ,-69.115,2022-09-27,10:03:42,2022-09-27,13:03:42,99,km,3.0,Ml
60 km al O de Taltal,-25.502 ,-71.070,2022-09-27,09:01:23,2022-09-27,12:01:23,34,km,3.6,Ml
34 km al N de Tocopilla,-21.786 ,-70.225,2022-09-27,06:15:37,2022-09-27,09:15:37,23,km,2.5,Ml
44 km al SO de Angol,-38.032 ,-73.115,2022-09-27,05:37:19,2022-09-27,08:37:19,37,km,3.0,Ml
37 km al NE de MarÃ­a Elena,-22.118 ,-69.402,2022-09-27,05:27:27,2022-09-27,08:27:27,78,km,3.0,Ml
52 km al S de CamiÃ±a,-19.777 ,-69.340,2022-09-27,05:18:43,2022-09-27,08:18:43,93,km,2.7,Ml
47 km al SO de San Pedro de Atacama,-23.220 ,-68.524,2022-09-27,04:12:45,2022-09-27,07:12:45,112,km,2.5,Ml
47 km al E de Pica,-20.455 ,-68.879,2022-09-27,03:52:53,2022-09-27,06:52:53,111,km,3.5,Ml
43 km al SO de Los Vilos,-32.244 ,-71.752,2022-09-27,03:11:20,2022-09-27,06:11:20,30,km,2.6,Ml
44 km al SO de Los Vilos,-32.247 ,-71.752,2022-09-27,03:09:45,2022-09-27,06:09:45,32,km,2.8,Ml
111 km al O de ValparaÃ­so,-32.993 ,-72.807,2022-09-27,02:36:52,2022-09-27,05:36:52,35,km,4.2,Ml
66 km al NE de Calama,-21.920 ,-68.701,2022-09-27,01:39:22,2022-09-27,04:39:22,106,km,2.5,Ml
44 km al SO de OllagÃ¼e,-21.572 ,-68.459,2022-09-27,01:27:18,2022-09-27,04:27:18,136,km,2.6,Ml
8 km al S de Los Vilos,-31.982 ,-71.513,2022-09-26,23:34:17,2022-09-27,02:34:17,44,km,3.0,Ml
50 km al SO de Socaire,-23.803 ,-68.317,2022-09-26,22:50:08,2022-09-27,01:50:08,128,km,3.2,Ml
65 km al SE de Socaire,-24.083 ,-67.544,2022-09-26,22:06:22,2022-09-27,01:06:22,234,km,3.1,Ml
61 km al S de Socaire,-24.112 ,-67.719,2022-09-26,21:20:15,2022-09-27,00:20:15,222,km,3.2,Ml
70 km al SE de Socaire,-23.976 ,-67.348,2022-09-26,21:09:03,2022-09-27,00:09:03,240,km,2.6,Ml
